"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SJER_001",260,20,140,""
"SJER_002",320,80,200,""
"SJER_003",210,330,90,""
"SJER_004",150,270,30,""
"SJER_005",230,350,110,""
"SJER_006",310,70,190,""
"SJER_007",30,150,270,""
"SJER_008",340,100,220,""
"SJER_009",250,10,130,""
"SJER_010",30,150,270,""
"SJER_012",250,10,130,""
"SJER_014",180,300,60,""
"SJER_015",180,300,60,""
"SJER_016",340,100,220,""
"SJER_019",250,10,130,""
"SJER_020",350,110,230,""
"SJER_021",100,220,340,""
"SJER_022",250,10,130,""
"SJER_025",30,150,270,""
"SJER_026",60,180,300,""
