"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"BONA_070",160,280,40,""
"BONA_071",190,310,70,""
"BONA_072",260,20,140,""
"BONA_073",170,290,50,""
"BONA_074",40,160,280,""
"BONA_075",330,90,210,""
"BONA_076",140,260,20,""
"BONA_077",90,210,330,""
"BONA_078",250,10,130,""
"BONA_079",330,90,210,""
"BONA_080",90,210,330,""
"BONA_081",250,10,130,""
"BONA_082",330,90,210,""
"BONA_083",40,160,280,""
"BONA_084",260,20,140,""
"BONA_086",160,280,40,""
"BONA_087",80,200,320,""
"BONA_088",300,60,180,""
"BONA_089",260,20,140,""
"BONA_093",220,340,100,""
