"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"DELA_001",40,160,280,""
"DELA_002",90,210,330,""
"DELA_003",190,310,70,""
"DELA_004",170,290,50,""
"DELA_005",210,330,90,""
"DELA_006",260,20,140,""
"DELA_008",330,90,210,""
"DELA_009",160,280,40,""
"DELA_011",330,90,210,""
"DELA_012",160,280,40,""
"DELA_013",230,350,110,""
"DELA_014",240,0,120,""
"DELA_015",180,300,60,""
"DELA_016",280,40,160,""
"DELA_017",170,290,50,""
"DELA_018",290,50,170,""
"DELA_020",170,290,50,""
"DELA_021",290,50,170,""
"DELA_022",230,350,110,""
"DELA_023",100,220,340,""
