"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"SOAP_001",170,290,50,""
"SOAP_002",150,270,30,""
"SOAP_003",340,100,220,""
"SOAP_004",90,210,330,""
"SOAP_005",140,260,20,""
"SOAP_006",120,240,0,""
"SOAP_007",190,310,70,""
"SOAP_008",140,260,20,""
"SOAP_009",160,280,40,""
"SOAP_010",190,310,70,""
"SOAP_011",140,260,20,""
"SOAP_012",160,280,40,""
"SOAP_013",320,80,200,""
"SOAP_015",210,330,90,""
"SOAP_016",90,210,330,""
"SOAP_017",220,340,100,""
"SOAP_018",290,50,170,""
"SOAP_019",30,150,270,""
"SOAP_020",220,340,100,""
"SOAP_021",290,50,170,""
