"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"CLBJ_001",180,300,60,""
"CLBJ_002",330,90,210,""
"CLBJ_003",80,200,320,""
"CLBJ_004",100,220,340,""
"CLBJ_005",160,280,40,""
"CLBJ_006",290,50,170,""
"CLBJ_007",110,230,350,""
"CLBJ_008",40,160,280,""
"CLBJ_009",210,330,90,""
"CLBJ_010",110,230,350,""
"CLBJ_011",40,160,280,""
"CLBJ_012",210,330,90,""
"CLBJ_013",250,10,130,""
"CLBJ_014",300,60,180,""
"CLBJ_015",190,310,70,""
"CLBJ_016",160,280,40,""
"CLBJ_017",130,250,10,""
"CLBJ_018",140,260,20,""
"CLBJ_019",10,130,250,""
"CLBJ_020",130,250,10,""
"CLBJ_021",140,260,20,""
"CLBJ_022",10,130,250,""
"CLBJ_023",310,70,190,""
"CLBJ_024",10,130,250,""
"CLBJ_025",120,240,0,""
"CLBJ_026",20,140,260,""
"CLBJ_027",330,90,210,""
"CLBJ_028",110,230,350,""
"CLBJ_029",100,220,340,""
"CLBJ_030",330,90,210,""
