"_record_id","cdw_lidsList"
"f417589f-9984-4dcb-8244-9a0abb44cbaa","40|160|280"
"197df792-f967-4973-a283-699a40c1c3c8","270|30|150"
"f1391930-e016-407b-8aa4-90690dc5ec21","280|40|160"
"0f34d06b-184e-4d3f-bca0-14c0a3c2d671","340|100|220"
"f28945d7-bde3-4dc0-a200-31b283a2bd71","290|50|170"
"49883f18-affa-4b37-affe-9a194f3838a2","250|10|130"
"bf81e4e2-9f77-49d7-9411-a2dd74fca45d","70|190|310"
"e9ac6bcf-c626-4e61-b7df-c1b8ab8c20c4","20|140|260"
"688f5462-8945-4afe-86f8-abe41e667998","190|310|70"
"0fcdda77-1be7-48b6-bcdc-871b2dbf6f75","70|190|310"
"d2f3afad-d2c1-47d1-ad5b-fc7ba432c998","20|140|260"
"d5cc2f23-af88-443d-9614-f096a056da5e","190|310|70"
"6e0d6602-efed-4a83-9a32-1cad469e04e2","260|20|140"
"23616732-453b-4f23-9306-1d76a16a4214","350|110|230"
"119292ad-1ca2-4617-868b-b1fd52099a10","110|230|350"
"4eeeb842-9489-4bfe-a434-2f7574db77f6","350|110|230"
"11cd1415-cd47-4ee9-bc0d-ab2e7e3a5287","20|140|260"
"708fa5fc-d592-4167-879a-b8680ecbcc15","180|300|60"
"914d633b-4d05-4939-8f09-dc8d5f8832be","200|320|80"
"617ba995-a7d9-4239-9e99-82e7fa904e73","340|100|220"
"71879169-06cd-4c29-8512-905467ba32ad","50|170|290"
"f20eb144-395c-44f6-a503-10b5fca6aab4","310|70|190"
"0bc10e44-5593-4fec-9f6a-3e28b8620df7","70|190|310"
"8c719cfc-52b1-4d81-a39e-4dda76ff56c3","130|250|10"
"d8a74b15-19ef-4c20-b984-98e60c90709b","330|90|210"
"db3aacff-2943-4662-9c6d-4284dd0aa700","30|150|270"
"8de79540-e8c5-4e16-8b73-b3e25ff388ba","250|10|130"
"c4b01b4c-8b4d-4526-a2e7-70a996a43b44","60|180|300"
"542b67ef-68c8-402d-b5bb-869118d60143","30|150|270"
"c1ccfc58-3aaf-4079-8ba8-455983555c48","190|310|70"
"605b215f-e8f9-4214-95c0-ec4e3fe31389","50|170|290"
"7e343f13-293a-4c72-b06b-dbbad15b9a78","190|310|70"
"fa293163-15c2-4eb9-9204-fe2e1c66be1b","20|140|260"
"f57bec8a-b731-4dc5-b0d1-5e9b10289a90","260|20|140"
"f7649d27-efea-40ef-8309-9dd284743104","70|190|310"
"eb56b603-e1b5-4471-ae67-a0f22f075940","200|320|80"
"13cab6a4-af0c-4ca4-8aff-a1443e1ad3ac","0|120|240"
"46bb6a2d-3d63-4847-bc8e-55cba541fde9","80|200|320"
"ade693fd-bd8b-4a88-a8ec-db4d928d1cbd","260|20|140"
"f34a7a3c-dcb0-495c-a68a-a714fe630668","50|170|290"
"f97aee09-9315-42be-a1e2-8075ddf5168e","50|170|290"
"5b30a961-37a8-4b98-b433-75e570b36564","290|50|170"
"5b4ed272-fbfb-4d23-b136-341cbdd67ae2","340|100|220"
