"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"TALL_001",60,180,300,""
"TALL_002",20,140,260,""
"TALL_003",310,70,190,""
"TALL_004",120,240,0,""
"TALL_005",90,210,330,""
"TALL_006",40,160,280,""
"TALL_007",80,200,320,""
"TALL_008",250,10,130,""
"TALL_009",220,340,100,""
"TALL_010",80,200,320,""
"TALL_011",250,10,130,""
"TALL_012",220,340,100,""
"TALL_013",160,280,40,""
"TALL_015",250,10,130,""
"TALL_016",230,350,110,""
"TALL_017",60,180,300,""
"TALL_018",130,250,10,""
"TALL_020",60,180,300,""
"TALL_022",270,30,150,""
"TALL_025",320,80,200,""
