"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"TALL_042",260,20,140,""
"TALL_043",90,210,330,""
"TALL_044",210,330,90,""
"TALL_045",310,70,190,""
"TALL_046",130,250,10,""
"TALL_047",50,170,290,""
"TALL_048",80,200,320,""
"TALL_049",20,140,260,""
"TALL_050",50,170,290,""
"TALL_051",80,200,320,""
"TALL_052",20,140,260,""
"TALL_053",300,60,180,""
"TALL_054",70,190,310,""
"TALL_055",230,350,110,""
"TALL_056",50,170,290,""
"TALL_057",150,270,30,""
"TALL_058",230,350,110,""
"TALL_059",40,160,280,""
"TALL_060",150,270,30,""
"TALL_061",230,350,110,""
