"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"GRSM_047",240,0,120,""
"GRSM_048",170,290,50,""
"GRSM_049",210,330,90,""
"GRSM_050",240,0,120,""
"GRSM_051",170,290,50,""
"GRSM_052",210,330,90,""
"GRSM_053",350,110,230,""
"GRSM_054",20,140,260,""
"GRSM_055",170,290,50,""
"GRSM_056",220,340,100,""
"GRSM_057",310,70,190,""
"GRSM_058",160,280,40,""
"GRSM_059",80,200,320,""
"GRSM_060",310,70,190,""
"GRSM_061",160,280,40,""
"GRSM_062",80,200,320,""
"GRSM_063",220,340,100,""
"GRSM_064",150,270,30,""
"GRSM_065",150,270,30,""
"GRSM_066",60,180,300,""
