"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"DELA_037",120,240,0,""
"DELA_038",220,340,100,""
"DELA_039",190,310,70,""
"DELA_040",120,240,0,""
"DELA_041",220,340,100,""
"DELA_042",190,310,70,""
"DELA_043",150,270,30,""
"DELA_044",270,30,150,""
"DELA_045",90,210,330,""
"DELA_046",20,140,260,""
"DELA_047",250,10,130,""
"DELA_048",270,30,150,""
"DELA_050",250,10,130,""
"DELA_051",270,30,150,""
"DELA_052",110,230,350,""
"DELA_053",220,340,100,""
"DELA_054",240,0,120,""
"DELA_055",330,90,210,""
"DELA_056",290,50,170,""
"DELA_059",220,340,100,""
