"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"CPER_001",140,260,20,""
"CPER_002",120,240,0,""
"CPER_003",350,110,230,""
"CPER_004",250,10,130,""
"CPER_005",40,160,280,""
"CPER_006",80,200,320,""
"CPER_007",20,140,260,""
"CPER_008",140,260,20,""
"CPER_009",280,40,160,""
"CPER_010",20,140,260,""
"CPER_011",140,260,20,""
"CPER_012",280,40,160,""
"CPER_013",30,150,270,""
"CPER_014",340,100,220,""
"CPER_015",280,40,160,""
"CPER_016",350,110,230,""
"CPER_017",190,310,70,""
"CPER_018",240,0,120,""
"CPER_019",330,90,210,""
"CPER_020",190,310,70,""
