"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"TREE_025",10,130,250,""
"TREE_039",100,220,340,""
"TREE_040",310,70,190,""
"TREE_041",40,160,280,""
"TREE_042",100,220,340,""
"TREE_043",240,0,120,""
"TREE_044",290,50,170,""
"TREE_045",100,220,340,""
"TREE_046",150,270,30,""
"TREE_047",290,50,170,""
"TREE_048",310,70,190,""
"TREE_049",40,160,280,""
"TREE_050",290,50,170,""
"TREE_051",310,70,190,""
"TREE_052",40,160,280,""
"TREE_053",330,90,210,""
"TREE_054",270,30,150,""
"TREE_055",320,80,200,""
"TREE_056",80,200,320,""
"TREE_057",220,340,100,""
