"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"NIWO_001",340,100,220,""
"NIWO_002",100,220,340,""
"NIWO_003",170,290,50,""
"NIWO_004",290,50,170,""
"NIWO_005",60,180,300,""
"NIWO_006",240,0,120,""
"NIWO_007",260,20,140,""
"NIWO_008",60,180,300,""
"NIWO_009",150,270,30,""
"NIWO_010",260,20,140,""
"NIWO_011",60,180,300,""
"NIWO_012",150,270,30,""
"NIWO_013",330,90,210,""
"NIWO_014",0,120,240,""
"NIWO_015",20,140,260,""
"NIWO_016",250,10,130,""
"NIWO_017",220,340,100,""
"NIWO_018",320,80,200,""
"NIWO_023",210,330,90,""
"NIWO_024",20,140,260,""
