"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"DSNY_001",250,10,130,""
"DSNY_002",140,260,20,""
"DSNY_003",230,350,110,""
"DSNY_004",240,0,120,""
"DSNY_005",310,70,190,""
"DSNY_006",250,10,130,""
"DSNY_007",20,140,260,""
"DSNY_008",0,120,240,""
"DSNY_009",10,130,250,""
"DSNY_010",20,140,260,""
"DSNY_011",0,120,240,""
"DSNY_012",10,130,250,""
"DSNY_013",110,230,350,""
"DSNY_014",80,200,320,""
"DSNY_015",10,130,250,""
"DSNY_016",30,150,270,""
"DSNY_017",280,40,160,""
"DSNY_021",10,130,250,""
"DSNY_025",210,330,90,""
"DSNY_034",140,260,20,""
