"plotID","lidsAngle1","lidsAngle2","lidsAngle3","remarks"
"ORNL_036",260,20,140,""
"ORNL_037",60,180,300,""
"ORNL_043",260,20,140,""
"ORNL_045",330,90,210,""
"ORNL_046",220,340,100,""
"ORNL_049",20,140,260,""
"ORNL_050",10,130,250,""
"ORNL_051",290,50,170,""
"ORNL_052",20,140,260,""
"ORNL_053",330,90,210,""
"ORNL_054",150,270,30,""
"ORNL_055",300,60,180,""
"ORNL_056",160,280,40,""
"ORNL_057",60,180,300,""
"ORNL_058",230,350,110,""
"ORNL_059",40,160,280,""
"ORNL_060",60,180,300,""
"ORNL_061",230,350,110,""
"ORNL_062",40,160,280,""
"ORNL_063",130,250,10,""
