clipID,collectDate,exclosure,freshMass,ssFM10,ssFM25,ssFM50,ssDM10,ssDM25,ssDM50,ssDMResid
NOGP_074_054,20170626,Y,132.3,13.73,33.35,66.05,4.3,14.02,20.22,6.65
NOGP_073_186,20170626,Y,80.41,8.73,20.7,40.87,3.67,9.24,18.83,4.3
NOGP_075_178,20170626,N,35.74,3.31,8.9,18.14,1.01,3.01,6.88,1.72
NOGP_073_041,20170626,N,84.9,8.14,21.74,42.92,2.86,9.12,16.41,2.87
NOGP_066_049,20170626,Y,27.45,2.88,6.84,13.55,1.4,3.31,6.41,1.55
NOGP_068_060,20170626,N,23.08,2.31,5.8,11.62,1.01,2.57,5.28,1.03
NOGP_067_149,20170626,Y,137.58,13.46,34.18,68.75,3.32,8.07,20.02,4.22
NOGP_067_083,20170626,N,127.5,12.72,31.61,63.51,5.82,11.05,24.65,5.97
NOGP_066_044,20170626,N,48.34,4.75,11.98,23.9,1.79,4.04,8.68,2.01
NOGP_072_162,20170626,N,151.22,15.1,37.7,75.7,4.55,10.61,23.63,2.36
NOGP_071_030,20170626,Y,28.91,2.89,7.17,14.42,1.38,2.93,6.56,1.62
NOGP_071_180,20170626,N,27.79,2.62,6.88,13.89,1.16,3.21,6.64,1.89
NOGP_068_117,20170626,Y,22.27,2.31,5.52,11.06,1.07,2.61,5.43,1.37
NOGP_075_018,20170626,Y,19.4,1.93,4.88,9.75,0.87,1.48,4.28,0.97
NOGP_074_091,20170626,N,16.57,1.67,4.16,8.26,0.97,2.36,4.72,1.26
NOGP_072_151,20170626,Y,140.7,13.99,35.42,70.7,5.61,12.93,20.63,6.06
NOGP_070_046,20170626,Y,87.13,8.72,21.74,43.59,4.6,8.66,20.05,5.21
NOGP_070_043,20170626,N,184.87,18.42,46.2,92.46,6.22,12.67,23.01,3.55
NOGP_069_161,20170628,N,90.39,9.02,22.45,45.05,3.41,7.94,13.54,3.77
NOGP_069_014,20170628,Y,45.8,4.61,11.43,22.89,1.04,2.22,6.68,2.14
