"","domainID","siteID","plotID","plotType","date","eventID","volumeFactor","samplingProtocolVersion","lidsAzimuth","targetTaxaPresent","logDistance","logMaxDiameter","logMinorDiameter","logID","logLength","taxonID","scientificName","diameterClass","decayClass","decayClassNum"
"1","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",50,"Y",56.8,42.1,42.1,"00310",1.3,"ABIES","Abies sp.",">=10cm","5 - No structural integrity",5
"2","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",50,"Y",67.9,77.5,32,"00310",2.3,"ABIES","Abies sp.",">=10cm","4 - Rotten throughout",4
"3","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",50,"Y",88.5,54.5,54.5,"00312",1.4,"ABIES","Abies sp.",">=10cm","4 - Rotten throughout",4
"4","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",50,"Y",149.4,107.2,107.2,"00313",11.1,"PINUS","Pinus sp.",">=10cm","5 - No structural integrity",5
"5","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",50,"Y",150.8,155,155,"00314",11.4,"PINUS","Pinus sp.",">=10cm","5 - No structural integrity",5
"6","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",50,"Y",161.9,93,93,"00315",10.8,"PINUS","Pinus sp.",">=10cm","4 - Rotten throughout",4
"7","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",50,"Y",166.9,102,102,"00316",2.6,"PINUS","Pinus sp.",">=10cm","5 - No structural integrity",5
"8","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",50,"Y",227.2,96.3,96.3,"00317",5.3,"ABIES","Abies sp.",">=10cm","5 - No structural integrity",5
"9","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",170,"Y",39.4,91,91,"00320",4.8,"ABIES","Abies sp.",">=10cm","4 - Rotten throughout",4
"10","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",170,"Y",100.6,87,87,"00320",7.1,"ABIES","Abies sp.",">=10cm","4 - Rotten throughout",4
"11","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",170,"Y",81.3,62,62,"00321",3,"ABIES","Abies sp.",">=10cm","2 - Sound round",2
"12","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",170,"Y",48.7,62,62,"00321",3,"ABIES","Abies sp.",">=10cm","2 - Sound round",2
"13","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",170,"Y",49.2,48,48,"00322",3.2,"ABIES","Abies sp.",">=10cm","2 - Sound round",2
"14","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",170,"Y",80.9,48,48,"00322",3.2,"ABIES","Abies sp.",">=10cm","2 - Sound round",2
"15","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",170,"Y",131.9,85,85,"00323",3.9,"PINUS","Pinus sp.",">=10cm","4 - Rotten throughout",4
"16","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",170,"Y",195.3,75,75,"00324",20.6,"ABIES","Abies sp.",">=10cm","3 - Heartwood sound",3
"17","D17","TEAK","TEAK_001","distributed",2022-06-06,"CDW.2022.TEAK",10,"NEON.DOC.001711vF",290,"Y",14.1,135,135,"00325",13.2,"ABIES","Abies sp.",">=10cm","4 - Rotten throughout",4
