"","domainid","siteid","plotid_parent","tallydate","volumefactor","particle_count","lidsazimuth","logdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"1","D17","SJER","SJER_004","2017-02-02T00:00:00.000Z","5",NA,270,64.7,"PISA2","4 - Rotten throughout","1",4,4.1,"PISA2","Y",">=10cm","4"
"2","D17","SJER","SJER_021","2017-02-02T00:00:00.000Z","5",NA,340,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"3","D17","SJER","SJER_006","2017-02-02T00:00:00.000Z","5",NA,310,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"4","D17","SJER","SJER_006","2017-02-02T00:00:00.000Z","5",NA,190,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"5","D17","SJER","SJER_006","2017-02-02T00:00:00.000Z","5",NA,70,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"6","D17","SJER","SJER_004","2017-02-02T00:00:00.000Z","5",NA,70,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"7","D17","SJER","SJER_021","2017-02-02T00:00:00.000Z","5",NA,100,8.3,"LUAL4","3 - Heartwood sound","L01",1.2,1.7,"LUAL4","Y","5-10cm","3"
"8","D17","SJER","SJER_004","2017-02-02T00:00:00.000Z","5",NA,30,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"9","D17","SJER","SJER_021","2017-02-02T00:00:00.000Z","5",NA,220,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"10","D17","SJER","SJER_012","2017-02-28T00:00:00.000Z","5",NA,250,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"11","D17","SJER","SJER_020","2017-02-13T00:00:00.000Z","5",NA,110,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"12","D17","SJER","SJER_020","2017-02-13T00:00:00.000Z","5",NA,350,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"13","D17","SJER","SJER_020","2017-02-13T00:00:00.000Z","5",NA,110,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"14","D17","SJER","SJER_020","2017-02-13T00:00:00.000Z","5",NA,230,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"15","D17","SJER","SJER_025","2017-02-13T00:00:00.000Z","5",NA,30,23.8,"QUDO","2 - Sound round","5",35,5.3,"QUDO","Y",">=10cm","2"
"16","D17","SJER","SJER_025","2017-02-13T00:00:00.000Z","5",NA,30,57.3,"PISA2","4 - Rotten throughout","8",194,13.2,"PISA2","Y",">=10cm","4"
"17","D17","SJER","SJER_025","2017-02-13T00:00:00.000Z","5",NA,270,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"18","D17","SJER","SJER_025","2017-02-13T00:00:00.000Z","5",NA,150,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
