"siteID","taxonID","decayClass","sizeCategory","charextent","chardepth","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"SOAP","PIPO",2,">=10cm","none","none",21.19,21.19,10,10
"SOAP","PIPO",3,">=10cm","none","none",18.59,39.78,10,20
"SOAP","PINUS",2,">=10cm","none","none",9.29,49.07,10,30
"SOAP","CADE27",2,">=10cm","none","none",4.09,53.16,10,40
"SOAP","PIPO",2,">=10cm","1-5","0-1",2.6,55.76,10,50
"SOAP","CADE27",2,">=10cm","6-25","0-1",2.23,57.99,10,60
"SOAP","QUKE",2,">=10cm","none","none",2.23,60.22,10,70
"SOAP","PIPO",3,">=10cm","6-25","0-1",2.23,62.45,10,80
"SOAP","PIPO",2,">=10cm","6-25","0-1",1.86,64.31,10,90
"SOAP","PINUS",3,">=10cm","none","none",1.86,66.17,10,100
"SOAP","CADE27",2,">=10cm","26-50","0-1",1.49,67.66,10,110
"SOAP","CADE27",3,">=10cm","26-50","0-1",1.49,69.15,10,120
"SOAP","PIPO",3,">=10cm","1-5","0-1",1.49,70.64,10,130
"SOAP","PIPO",3,">=10cm","26-50","0-1",1.49,72.13,10,140
"SOAP","CADE27",2,">=10cm","1-5","0-1",1.12,73.25,10,150
"SOAP","PIPO",3,">=10cm","51-75","0-1",1.12,74.37,10,160
"SOAP","QUKE",3,">=10cm","none","none",1.12,75.49,10,170
"SOAP","PIPO",4,">=10cm","none","none",1.12,76.61,10,180
"SOAP","2PLANT-H",2,">=10cm","1-5","0-1",0.74,77.35,10,190
"SOAP","CADE27",2,">=10cm","51-75","0-1",0.74,78.09,10,200
"SOAP","PINUS",2,">=10cm","1-5","0-1",0.74,78.83,10,210
"SOAP","PINUS",2,">=10cm","6-25","0-1",0.74,79.57,10,220
"SOAP","PIPO",2,">=10cm","51-75","0-1",0.74,80.31,10,230
"SOAP","CADE27",3,">=10cm","51-75","0-1",0.74,81.05,10,240
"SOAP","CADE27",3,">=10cm","6-25","0-1",0.74,81.79,10,250
"SOAP","CADE27",3,">=10cm","76-95","0-1",0.74,82.53,10,260
"SOAP","PINUS",3,">=10cm","26-50","0-1",0.74,83.27,10,270
"SOAP","CADE27",4,">=10cm","6-25","0-1",0.74,84.01,10,280
"SOAP","PIPO",4,">=10cm","6-25","0-1",0.74,84.75,10,290
"SOAP","CADE27",2,"5-10cm","none","none",0.74,85.49,5,295
"SOAP","CADE27",1,">=10cm","none","none",0.37,85.86,10,305
"SOAP","PINUS",1,">=10cm","none","none",0.37,86.23,10,315
"SOAP","QUCA11",1,">=10cm","none","none",0.37,86.6,10,325
"SOAP","ABIES",2,">=10cm","1-5","0-1",0.37,86.97,10,335
"SOAP","ALRH2",2,">=10cm","none","none",0.37,87.34,10,345
"SOAP","CADE27",2,">=10cm","76-95","0-1",0.37,87.71,10,355
"SOAP","PILA",2,">=10cm","none","none",0.37,88.08,10,365
"SOAP","PIPO",2,">=10cm","1-5","none",0.37,88.45,10,375
"SOAP","QUCH2",2,">=10cm","none","none",0.37,88.82,10,385
"SOAP","QUKE",2,">=10cm","1-5","none",0.37,89.19,10,395
"SOAP","QUKE",2,">=10cm","6-25","> 1",0.37,89.56,10,405
"SOAP","UMCA",2,">=10cm","none","none",0.37,89.93,10,415
"SOAP","2PLANT-H",3,">=10cm","51-75","0-1",0.37,90.3,10,425
"SOAP","2PLANT-H",3,">=10cm","96-100","0-1",0.37,90.67,10,435
"SOAP","2PLANT-S",3,">=10cm","76-95","> 1",0.37,91.04,10,445
"SOAP","CADE27",3,">=10cm","26-50","> 1",0.37,91.41,10,455
"SOAP","CALOC2",3,">=10cm","96-100","0-1",0.37,91.78,10,465
"SOAP","PILA",3,">=10cm","none","none",0.37,92.15,10,475
"SOAP","PINUS",3,">=10cm","1-5","0-1",0.37,92.52,10,485
"SOAP","PINUS",3,">=10cm","51-75","0-1",0.37,92.89,10,495
"SOAP","PINUS",3,">=10cm","96-100","0-1",0.37,93.26,10,505
"SOAP","PINUSSPP",3,">=10cm","1-5","0-1",0.37,93.63,10,515
"SOAP","PIPO",3,">=10cm","26-50","> 1",0.37,94,10,525
"SOAP","PIPO",3,">=10cm","6-25","> 1",0.37,94.37,10,535
"SOAP","PIPO",3,">=10cm","76-95","0-1",0.37,94.74,10,545
"SOAP","PIPO",3,">=10cm","96-100","0-1",0.37,95.11,10,555
"SOAP","QUKE",3,">=10cm","1-5","0-1",0.37,95.48,10,565
"SOAP","QUKE",3,">=10cm","6-25","0-1",0.37,95.85,10,575
"SOAP","2PLANT-H",4,">=10cm","51-75","0-1",0.37,96.22,10,585
"SOAP","2PLANT-H",4,">=10cm","6-25","0-1",0.37,96.59,10,595
"SOAP","CADE27",4,">=10cm","51-75","0-1",0.37,96.96,10,605
"SOAP","PINUS",4,">=10cm","6-25","0-1",0.37,97.33,10,615
"SOAP","PIPO",4,">=10cm","76-95","0-1",0.37,97.7,10,625
"SOAP","PIPOB",4,">=10cm","none","none",0.37,98.07,10,635
"SOAP","2PLANT-H",5,">=10cm","none","none",0.37,98.44,10,645
"SOAP","PIPO",5,">=10cm","none","none",0.37,98.81,10,655
"SOAP","ARVIM",2,"5-10cm","none","none",0.37,99.18,5,660
"SOAP","PIPO",2,"2-5cm","none","none",0.37,99.55,5,665
"SOAP","PIPO",4,"2-5cm","none","none",0.37,99.92,5,670
