,taxonID,family,genus,species,scientificName,synonym,commonName,pathway,refType,reference
952,ACAM8,Poaceae,Acroceras,amplectens,Acroceras amplectens Stapf,,acroceras,C3,journal,199
953,ACMA5,Poaceae,Acroceras,macrum,Acroceras macrum Stapf,,Nile grass,C3,journal,"199,379"
1154,AEBI,Poaceae,Aegilops,bicornis,Aegilops bicornis (Forsskal) Jaub. & Spach,,goatgrass,C3,journal,"7,563"
1155,AEBI2,Poaceae,Aegilops,biuncialis,Aegilops biuncialis Vis.,Aegilops lorentii, ,C3,journal,7
1156,AECO,Poaceae,Aegilops,comosa,Aegilops comosa Sibth. & Smith,,goatgrass,C3,journal,7
1157,AECR,Poaceae,Aegilops,crassa,Aegilops crassa Boiss.,,Persian goatgrass,C3,journal,"7,181,563"
1158,AECY,Poaceae,Aegilops,cylindrica,Aegilops cylindrica Host,,jointed goatgrass,C3,journal,"7,90"
1164,AELO,Poaceae,Aegilops,longissima,Aegilops longissima Schweinf. & Muschl.,,goatgrass,C3,journal,"7,563"
1166,AEOV2,Poaceae,Aegilops,ovata,Aegilops ovata L. p.p.,Aegilops geniculata, ,C3,journal,"7,30,563"
1168,AESP2,Poaceae,Aegilops,speltoides,Aegilops speltoides Tausch,,goatgrass,C3,journal,7
1169,AESQ,Poaceae,Aegilops,squarrosa,Aegilops squarrosa L.,Aegilops triuncialis, ,C3,journal,7
1174,AETR,Poaceae,Aegilops,triuncialis,Aegilops triuncialis L.,,barbed goatgrass,C3,journal,7
1175,AEUM,Poaceae,Aegilops,umbellulata,Aegilops umbellulata Zhuk.,,goatgrass,C3,journal,7
1176,AEVE,Poaceae,Aegilops,ventricosa,Aegilops ventricosa Tausch,,goatgrass,C3,journal,"7,563"
1604,AGCA2,Poaceae,Agropyron,caninum,Agropyron caninum (L.) Beauv.,Elymus caninus, ,C3,journal,"90,410"
1611,AGCR,Poaceae,Agropyron,cristatum,Agropyron cristatum (L.) Gaertn.,,crested wheatgrass,C3,journal,"10,28,90,120,156,157,158,250,268,269,400"
1617,AGDA,Poaceae,Agropyron,dasystachyum,Agropyron dasystachyum (Hook.) Scribn. & J.G. Sm.,Elymus lanceolatus ssp. lanceolatus, ,C3,journal,291
1624,AGDE2,Poaceae,Agropyron,desertorum,Agropyron desertorum (Fisch. ex Link) J.A. Schultes,,desert wheatgrass,C3,journal,"129,156,250,269,409,000"
1633,AGIN5,Poaceae,Agropyron,inerme,Agropyron inerme (Scribn. & J.G. Sm.) Rydb.,Pseudoroegneria spicata ssp. inermis, ,C3,journal,7
1634,AGIN2,Poaceae,Agropyron,intermedium,Agropyron intermedium (Host) Beauv.,Thinopyrum intermedium, ,C3,journal,"7,65,90,99,120,426"
1639,AGLA3,Poaceae,Agropyron,latiglume,Agropyron latiglume (Scribn. & J.G. Sm.) Rydb.,Elymus alaskanus ssp. latiglumis, ,C3,journal,7
1641,AGLI81,Poaceae,Agropyron,littorale,Agropyron littorale auct. non (Host) Dur.,Thinopyrum pycnanthum, ,C3,journal,7
1644,AGOR2,Poaceae,Agropyron,orientale,Agropyron orientale (L.) Roemer & J.A. Schultes,Eremopyrum orientale, ,C3,journal,7
1654,AGPE5,Poaceae,Agropyron,pectiniforme,Agropyron pectiniforme Roemer & J.A. Schultes,Agropyron cristatum ssp. pectinatum, ,C3,journal,7
1658,AGPS,Poaceae,Agropyron,pseudorepens,Agropyron pseudorepens Scribn. & J.G. Sm.,Elymus pseudorepens, ,C3,journal,7
1663,AGPU3,Poaceae,Agropyron,pungens,Agropyron pungens auct. non (Pers.) Roemer & J.A. Schultes,Thinopyrum pycnanthum, ,C3,journal,"7,32"
1665,AGRE2,Poaceae,Agropyron,repens,Agropyron repens (L.) Beauv.,Elymus repens, ,C3,journal,"7,90,120,168,183,185"
1672,AGSE,Poaceae,Agropyron,semicostatum,Agropyron semicostatum Nees ex Steud.,Elymus semicostatum, ,C3,journal,7
1674,AGSI,Poaceae,Agropyron,sibiricum,Agropyron sibiricum (Willd.) Beauv.,Agropyron fragile, ,C3,journal,7
1675,AGSM,Poaceae,Agropyron,smithii,Agropyron smithii Rydb.,Pascopyrum smithii, ,C3,journal,"7,28,32,34,48,59,106,120,129,138,170,257,258,291,385,511,514,610"
1678,AGSP,Poaceae,Agropyron,spicatum,Agropyron spicatum (Pursh) Scribn. & J.G. Sm.,Pseudoroegneria spicata ssp. spicata, ,C3,journal,"7,32,90,99,106,129,629"
1685,AGTE4,Poaceae,Agropyron,tenerum,Agropyron tenerum Vasey,Elymus trachycaulus ssp. trachycaulus, ,C3,journal,7
1687,AGTR,Poaceae,Agropyron,trachycaulum,Agropyron trachycaulum (Link) Malte ex H.F. Lewis,Elymus trachycaulus ssp. trachycaulus, ,C3,journal,7120139
1695,AGTR6,Poaceae,Agropyron,trichophorum,Agropyron trichophorum (Link) Richter,Thinopyrum intermedium, ,C3,journal,7
1716,AGAL3,Poaceae,Agrostis,alba,Agrostis alba auct. non L.,Agrostis gigantea, ,C3,journal,"90,120,156,179"
1733,AGBR3,Poaceae,Agrostis,breviculmis,Agrostis breviculmis auct. non A.S. Hitchc.,Agrostis blasdalei, ,C3,journal,472
1739,AGCA5,Poaceae,Agrostis,capillaris,Agrostis capillaris L.,,colonial bentgrass,C3,journal,"57,129,149,171,410,400,000"
1740,AGCA11,Poaceae,Agrostis,castellana,Agrostis castellana Boiss. & Reuter,,bentgrass,C3,journal,"7,90"
1771,AGHY,Poaceae,Agrostis,hyemalis,Agrostis hyemalis (Walt.) B.S.P.,,winter bentgrass,C3,journal,"7,278"
1802,AGPE,Poaceae,Agrostis,perennans,Agrostis perennans (Walt.) Tuckerman,,upland bentgrass,C3,journal,"7,65,90"
1812,AGSA3,Poaceae,Agrostis,sandwicensis,Agrostis sandwicensis Hbd.,,Hawai'i bentgrass,C3,journal,121
1813,AGSC5,Poaceae,Agrostis,scabra,Agrostis scabra Willd.,,rough bentgrass,C3,journal,"7,65,90,183"
1818,AGSE2,Poaceae,Agrostis,semiverticillata,Agrostis semiverticillata (Forsk.) C. Christens.,Polypogon viridis, ,C3,URL,179
1821,AGST2,Poaceae,Agrostis,stolonifera,Agrostis stolonifera L.,,creeping bentgrass,C3,journal,"30,48,54,563"
1831,AGTE,Poaceae,Agrostis,tenuis,Agrostis tenuis Sibthorp,Agrostis capillaris, ,C3,journal,"7,90"
1841,AGVE2,Poaceae,Agrostis,verticillata,Agrostis verticillata Vill.,Polypogon viridis, ,C3,journal,90
1872,AICA,Poaceae,Aira,caryophyllea,Aira caryophyllea L.,,silver hairgrass,C3,journal,"340,472"
2552,ALHO3,Poaceae,Alopecurus,howellii,Alopecurus howellii Vasey,Alopecurus saccatus, ,C3,journal,24
2556,ALMY,Poaceae,Alopecurus,myosuroides,Alopecurus myosuroides Huds.,,slender meadow foxtail,C3,journal,563
2559,ALPR3,Poaceae,Alopecurus,pratensis,Alopecurus pratensis L.,,meadow foxtail,C3,journal,"7,120,156,426"
3059,AMAR4,Poaceae,Ammophila,arenaria,Ammophila arenaria (L.) Link,,European beachgrass,C3,journal,"553,563"
3060,AMBR,Poaceae,Ammophila,breviligulata,Ammophila breviligulata Fern.,,American beachgrass,C3,journal,"7,65,90,384"
3062,AMMOP,Poaceae,Ammophila,Host,Ammophila Host,,beachgrass,C3,book,196
3171,AMMU2,Poaceae,Amphicarpum,muehlenbergianum,Amphicarpum muehlenbergianum (J.A. Schultes) A.S. Hitchc.,,Muhlenberg maidencane,C3,journal,199
3172,AMPU6,Poaceae,Amphicarpum,purshii,Amphicarpum purshii Kunth,,blue maidencane,C3,journal,"7,90,199"
4405,ANOD,Poaceae,Anthoxanthum,odoratum,Anthoxanthum odoratum L.,,sweet vernalgrass,C3,journal,"7,57,90,129,150,287,340,465"
6059,AREL3,Poaceae,Arrhenatherum,elatius,Arrhenatherum elatius (L.) Beauv. ex J.& K. Presl,,tall oatgrass,C3,journal,"7,32,57,90,120,129,149,150,426"
6567,ARTE4,Poaceae,Arundinaria,tecta,Arundinaria tecta (Walt.) Muhl.,Arundinaria gigantea ssp. tecta, ,C3,journal,"7,90"
6570,ARDO4,Poaceae,Arundo,donax,Arundo donax L.,,giant reed,C3,journal,"81,90,119,379,426,465,563"
6571,ARDOV,Poaceae,Arundo,donax,Arundo donax L. var. versicolor (P. Mill.) Stokes,Arundo donax, ,C3,journal,7
9042,AVBA,Poaceae,Avena,barbata,Avena barbata Pott ex Link,,slender oat,C3,journal,"7,129,410,563"
9046,AVFA,Poaceae,Avena,fatua,Avena fatua L.,,wild oat,C3,journal,"7,156,250,269,410,560"
9062,AVSA,Poaceae,Avena,sativa,Avena sativa L.,,common oat,C3,journal,"7,40,58,62,88,90,159,179,187,265,410,426,465,471,563"
9065,AVST,Poaceae,Avena,sterilis,Avena sterilis L.,,animated oat,C3,journal,"7,563"
9066,AVST2,Poaceae,Avena,strigosa,Avena strigosa Schreb.,,lopsided oat,C3,journal,7
9474,BAVU2,Poaceae,Bambusa,vulgaris,Bambusa vulgaris Schrad. ex J.C. Wendl.,,common bamboo,C3,journal,"7,90,99,557"
9796,BESY,Poaceae,Beckmannia,syzigachne,Beckmannia syzigachne (Steud.) Fern.,,American sloughgrass,C3,journal,"7,90,106,156,250,269,399"
10906,BRER2,Poaceae,Brachyelytrum,erectum,Brachyelytrum erectum (Schreb. ex Spreng.) Beauv.,,bearded shorthusk,C3,journal,"7,90"
10920,BRDI2,Poaceae,Brachypodium,distachyon,Brachypodium distachyon (L.) Beauv.,,purple false brome,C3,journal,30
10921,BRPH3,Poaceae,Brachypodium,phoenicoides,Brachypodium phoenicoides (L.) Roemer & J.A. Schultes,,thinleaf false brome,C3,journal,7
10922,BRPI,Poaceae,Brachypodium,pinnatum,Brachypodium pinnatum (L.) Beauv.,,heath false brome,C3,journal,"57,129,149,150"
11293,BRMA,Poaceae,Briza,maxima,Briza maxima L.,,big quakinggrass,C3,journal,"7,265,426"
11294,BRME,Poaceae,Briza,media,Briza media L.,,perennial quakinggrass,C3,journal,150
11295,BRMI2,Poaceae,Briza,minor,Briza minor L.,,little quakinggrass,C3,journal,"7,119,426,563"
11412,BRAN,Poaceae,Bromus,anomalus,Bromus anomalus Rupr. ex Fourn.,,nodding brome,C3,URL,179
11414,BRAR3,Poaceae,Bromus,arenarius,Bromus arenarius Labill.,,Australian brome,C3,journal,465
11419,BRBI2,Poaceae,Bromus,biebersteinii,Bromus biebersteinii Roemer & J.A. Schultes,,meadow brome,C3,journal,7
11421,BRBR81,Poaceae,Bromus,brevis,Bromus brevis Nees ex Steud.,Bromus catharticus, ,C3,journal,"472,555"
11430,BRCA6,Poaceae,Bromus,catharticus,Bromus catharticus Vahl,,rescuegrass,C3,journal,"7,65,90,119,379,472,563"
11438,BRCO4,Poaceae,Bromus,commutatus,Bromus commutatus Schrad.,,meadow brome,C3,journal,"7,90,472"
11441,BRDI3,Poaceae,Bromus,diandrus,Bromus diandrus Roth,,ripgut brome,C3,journal,"7,379,563"
11445,BRER3,Poaceae,Bromus,erectus,Bromus erectus Huds.,,erect brome,C3,journal,"57,129,149,410,499"
11451,BRHA,Poaceae,Bromus,haenkeanus,Bromus haenkeanus (J. Presl) Kunth,Bromus catharticus, ,C3,journal,"7,90"
11452,BRHO2,Poaceae,Bromus,hordeaceus,Bromus hordeaceus L.,,soft brome,C3,journal,"119,410,499"
11458,BRIN2,Poaceae,Bromus,inermis,Bromus inermis Leyss.,,smooth brome,C3,journal,"7,28,90,120,156,157,168,250,258,269"
11468,BRJA,Poaceae,Bromus,japonicus,Bromus japonicus Thunb. ex Murr.,,Japanese brome,C3,journal,"54,411,563"
11470,BRKA2,Poaceae,Bromus,kalmii,Bromus kalmii Gray,,arctic brome,C3,journal,"7,65,90,120"
11474,BRLA6,Poaceae,Bromus,lanatipes,Bromus lanatipes (Shear) Rydb.,,woolly brome,C3,URL,179
11475,BRLA7,Poaceae,Bromus,lanceolatus,Bromus lanceolatus Roth,,Mediterranean brome,C3,journal,563
