"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"1","ABILD","ABILD","Cyperaceae","Abildgaardia","Vahl","","Abildgaardia Vahl","sedge","","N"
"2","FIOV","ABOV","","Fimbristylis","ovata","C4","Fimbristylis ovata (Burm. f.) J. Kern"," ","323","N"
"3","ABOV","ABOV","Cyperaceae","Abildgaardia","ovata","unknown","Abildgaardia ovata (Burm. f.) Kral","flatspike sedge","","N"
"4","ABMO4","ABOV","","Abildgaardia","monostachya","unknown","Abildgaardia monostachya (L.) Vahl"," ","","N"
"5","CYMO10","ABOV","","Cyperus","monostachyos","unknown","Cyperus monostachyos L."," ","","N"
"6","FIMO2","ABOV","","Fimbristylis","monostachya","C4","Fimbristylis monostachya (L.) Hassk."," ","17,51,266","N"
"7","ACAR14","ACAR14","Poaceae","Achnatherum","aridum","unknown","Achnatherum aridum (M.E. Jones) Barkworth","Mormon needlegrass","","N"
"8","STAR2","ACAR14","","Stipa","arida","unknown","Stipa arida M.E. Jones"," ","","N"
"9","ACCL7","ACCL7","Poaceae","Achnatherum","clandestinum","unknown","Achnatherum clandestinum (Hack.) Barkworth","Mexican ricegrass","","I"
"10","STCL5","ACCL7","","Stipa","clandestina","unknown","Stipa clandestina Hack."," ","","I"
"11","STCU2","ACCU6","","Stipa","curvifolia","unknown","Stipa curvifolia Swallen"," ","","N"
"12","ACCU6","ACCU6","Poaceae","Achnatherum","curvifolium","unknown","Achnatherum curvifolium (Swallen) Barkworth","Guadalupe ricegrass","","N"
"13","ACEM4","ACEM4","Poaceae","Achnatherum","eminens","unknown","Achnatherum eminens (Cav.) Barkworth","southwestern needlegrass","","N"
"14","STEM2","ACEM4","","Stipa","eminens","unknown","Stipa eminens Cav."," ","","N"
"15","ACHNA","ACHNA","Poaceae","Achnatherum","Beauv.","","Achnatherum Beauv.","needlegrass","","UNK"
"16","STHY6","ACHY","","Stipa","hymenoides","unknown","Stipa hymenoides Roemer & J.A. Schultes"," ","","N"
"17","ACHY","ACHY","Poaceae","Achnatherum","hymenoides","unknown","Achnatherum hymenoides (Roemer & J.A. Schultes) Barkworth","Indian ricegrass","","N"
"18","ERCU9","ACHY","","Eriocoma","cuspidata","unknown","Eriocoma cuspidata Nutt."," ","","N"
"19","ORHY","ACHY","","Oryzopsis","hymenoides","C3","Oryzopsis hymenoides (Roemer & J.A. Schultes) Ricker ex Piper"," ","7,34,65,120,170,179,299,385,634","N"
"20","STLO3","ACLO7","","Stipa","lobata","unknown","Stipa lobata Swallen"," ","","N"
"21","ACLO7","ACLO7","Poaceae","Achnatherum","lobatum","unknown","Achnatherum lobatum (Swallen) Barkworth","littleawn needlegrass","","N"
"22","ACNE9","ACNE9","Poaceae","Achnatherum","nelsonii","unknown","Achnatherum nelsonii (Scribn.) Barkworth","Columbia needlegrass","","N"
"23","STMI6","ACNED","","Stipa","minor","unknown","Stipa minor (Vasey) Scribn."," ","","N"
"24","STNED2","ACNED","","Stipa","nelsonii","unknown","Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn"," ","","N"
"25","STOCM","ACNED","","Stipa","occidentalis","unknown","Stipa occidentalis Thurb. ex S. Wats. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc."," ","","N"
"26","STCO3","ACNED","","Stipa","columbiana","C3","Stipa columbiana auct. non Macoun"," ","7,90,99","N"
"27","STNED","ACNED","","Stipa","nelsonii","unknown","Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze"," ","","N"
"28","ACNED","ACNED","Poaceae","Achnatherum","nelsonii","unknown","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Dore's needlegrass","","N"
"29","STPE10","ACPE13","","Stipa","perplexa","unknown","Stipa perplexa (Hoge & Barkworth) J. Wipff  & S.D. Jones"," ","","N"
"30","ACPE13","ACPE13","Poaceae","Achnatherum","perplexum","unknown","Achnatherum perplexum Hoge & Barkworth","New Mexico needlegrass","","N"
"31","STRO3","ACRO7","","Stipa","robusta","C3","Stipa robusta (Vasey) Scribn."," ","7,90,179","N"
"32","ACRO7","ACRO7","Poaceae","Achnatherum","robustum","unknown","Achnatherum robustum (Vasey) Barkworth","sleepygrass","","N"
