"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"1","ORCA9","ACCA32","","Oryzopsis","caduca","unknown","Oryzopsis caduca Beal"," ","","I"
"2","ACCA32","ACCA32","Poaceae","Achnella","caduca","unknown","Achnella caduca (Beal) Barkworth","Mandan ricegrass","","I"
"3","STCA13","ACCA32","","Stiporyzopsis","caduca","unknown","Stiporyzopsis caduca (Beal) B.L. Johnson & Rogler"," ","","I"
"4","STCA22","ACCA32","","Stipa","caduca","unknown","Stipa caduca (Beal) Scribn."," ","","I"
"5","ACHNA","ACHNA","Poaceae","Achnatherum","Beauv.","","Achnatherum Beauv.","needlegrass","","N"
"6","ACHNE","ACHNE","Poaceae","Achnella","Barkworth","","Achnella Barkworth","ricegrass","","I"
"7","STHY6","ACHY","","Stipa","hymenoides","unknown","Stipa hymenoides Roemer & J.A. Schultes"," ","","STATE"
"8","ACHY","ACHY","Poaceae","Achnatherum","hymenoides","unknown","Achnatherum hymenoides (Roemer & J.A. Schultes) Barkworth","Indian ricegrass","","STATE"
"9","ERCU9","ACHY","","Eriocoma","cuspidata","unknown","Eriocoma cuspidata Nutt."," ","","STATE"
"10","ORHY","ACHY","","Oryzopsis","hymenoides","C3","Oryzopsis hymenoides (Roemer & J.A. Schultes) Ricker ex Piper"," ","7,34,65,120,170,179,299,385,634","STATE"
"11","STRO3","ACRO7","","Stipa","robusta","C3","Stipa robusta (Vasey) Scribn."," ","7,90,179","N"
"12","ACRO7","ACRO7","Poaceae","Achnatherum","robustum","unknown","Achnatherum robustum (Vasey) Barkworth","sleepygrass","","N"
"13","STVA4","ACRO7","","Stipa","vaseyi","unknown","Stipa vaseyi Scribn."," ","","N"
"14","AETA3","AECY","","Aegilops","tauschii","unknown","Aegilops tauschii auct. non Coss."," ","","I"
"15","TRCY3","AECY","","Triticum","cylindricum","unknown","Triticum cylindricum (Host) Ces., Pass. & Gib."," ","","I"
"16","AECY","AECY","Poaceae","Aegilops","cylindrica","C3","Aegilops cylindrica Host","jointed goatgrass","7,90","I"
"17","CYCY5","AECY","","Cylindropyrum","cylindricum","unknown","Cylindropyrum cylindricum (Host) A. Löve"," ","","I"
"18","AECYR","AECY","","Aegilops","cylindrica","unknown","Aegilops cylindrica Host var. rubiginosa Popova"," ","","I"
"19","AEGIL","AEGIL","Poaceae","Aegilops","L.","","Aegilops L.","goatgrass","","I"
"20","AGCA4","AGCA4","Poaceae","Agrostis","canina","unknown","Agrostis canina L.","velvet bentgrass","","N"
"21","AGCAV","AGCA4","","Agrostis","canina","unknown","Agrostis canina L. var. varians (Thuill.) Ducomm."," ","","N"
"22","AGCA5","AGCA5","Poaceae","Agrostis","capillaris","C3","Agrostis capillaris L.","colonial bentgrass","57,129,149,171,410,400,000","I"
"23","AGTEP","AGCA5","","Agrostis","tenuis","unknown","Agrostis tenuis Sibthorp var. pumila (L.) Druce"," ","","I"
"24","AGTEH","AGCA5","","Agrostis","tenuis","unknown","Agrostis tenuis Sibthorp var. hispida (Willd.) Philipson"," ","","I"
"25","AGTEA","AGCA5","","Agrostis","tenuis","unknown","Agrostis tenuis Sibthorp var. aristata (Parnell) Druce"," ","","I"
"26","AGVU2","AGCA5","","Agrostis","vulgaris","unknown","Agrostis vulgaris With."," ","","I"
"27","AGSY2","AGCA5","","Agrostis","sylvatica","unknown","Agrostis sylvatica Huds."," ","","I"
"28","AGTE","AGCA5","","Agrostis","tenuis","C3","Agrostis tenuis Sibthorp"," ","7,90","I"
"29","AGCR","AGCR","Poaceae","Agropyron","cristatum","C3","Agropyron cristatum (L.) Gaertn.","crested wheatgrass","10,28,90,120,156,157,158,250,268,269,400","I"
"30","AGCRP8","AGCRP8","Poaceae","Agropyron","cristatum","unknown","Agropyron cristatum (L.) Gaertn. ssp. pectinatum (Bieb.) Tzvelev","crested wheatgrass","","I"
"31","AGPE5","AGCRP8","","Agropyron","pectiniforme","C3","Agropyron pectiniforme Roemer & J.A. Schultes"," ","7","I"
"32","AGCR3","AGCRP8","","Agropyron","cristatiforme","unknown","Agropyron cristatiforme Sarkar"," ","","I"
"33","AGDE2","AGDE2","Poaceae","Agropyron","desertorum","C3","Agropyron desertorum (Fisch. ex Link) J.A. Schultes","desert wheatgrass","129,156,250,269,409,000","I"
"34","AGCRD2","AGDE2","","Agropyron","cristatum","unknown","Agropyron cristatum (L.) Gaertn. var. desertorum (Fisch. ex Link) Dorn"," ","","I"
"35","AGCRD","AGDE2","","Agropyron","cristatum","unknown","Agropyron cristatum (L.) Gaertn. ssp. desertorum (Fisch. ex Link) A. Löve"," ","","I"
"36","AGEL4","AGEL4","Poaceae","Agrostis","elliottiana","unknown","Agrostis elliottiana J.A. Schultes","Elliott's bentgrass","","N"
"37","AGEX2","AGEL4","","Agrostis","exigua","unknown","Agrostis exigua Thurb."," ","","N"
"38","AGEX","AGEX","Poaceae","Agrostis","exarata","unknown","Agrostis exarata Trin.","spike bentgrass","","N"
"39","AGAM2","AGEX","","Agrostis","ampla","unknown","Agrostis ampla A.S. Hitchc."," ","","N"
"40","AGMIM","AGEX","","Agrostis","microphylla","unknown","Agrostis microphylla Steud. var. major Vasey"," ","","N"
"41","AGEXM","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. var. minor Hook."," ","","N"
"42","AGEXM2","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. var. monolepis (Torr.) A.S. Hitchc."," ","","N"
"43","AGEXP","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. var. purpurascens Hultén"," ","","N"
"44","AGLOA","AGEX","","Agrostis","longiligula","unknown","Agrostis longiligula A.S. Hitchc. var. australis J.T. Howell"," ","","N"
"45","AGLO2","AGEX","","Agrostis","longiligula","unknown","Agrostis longiligula A.S. Hitchc."," ","","N"
"46","AGEXM3","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc."," ","","N"
"47","AGME","AGEX","","Agrostis","melaleuca","unknown","Agrostis melaleuca (Trin.) A.S. Hitchc."," ","","N"
"48","AGAS4","AGEX","","Agrostis","asperifolia","unknown","Agrostis asperifolia Trin."," ","","N"
"49","AGEXP2","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. var. pacifica Vasey"," ","","N"
"50","AGAL2","AGEX","","Agrostis","alaskana","unknown","Agrostis alaskana Hultén"," ","","N"
"51","AGAE2","AGEX","","Agrostis","aenea","unknown","Agrostis aenea Trin."," ","","N"
"52","AGNI","AGGI2","","Agrostis","nigra","unknown","Agrostis nigra With."," ","","I"
"53","AGSTM","AGGI2","","Agrostis","stolonifera","unknown","Agrostis stolonifera L. var. major (Gaudin) Farw."," ","","I"
"54","AGAL3","AGGI2","","Agrostis","alba","C3","Agrostis alba auct. non L."," ","90,120,156,179","I"
"55","AGGID","AGGI2","","Agrostis","gigantea","unknown","Agrostis gigantea Roth var. dispar (Michx.) Philipson"," ","","I"
"56","AGSTG","AGGI2","","Agrostis","stolonifera","unknown","Agrostis stolonifera L. ssp. gigantea (Roth) Schuebl. & Martens"," ","","I"
"57","AGGI2","AGGI2","Poaceae","Agrostis","gigantea","unknown","Agrostis gigantea Roth","redtop","","I"
"58","AGHY","AGHY","Poaceae","Agrostis","hyemalis","C3","Agrostis hyemalis (Walt.) B.S.P.","winter bentgrass","7,278","N"
"59","AGAN2","AGHY","","Agrostis","antecedens","unknown","Agrostis antecedens Bickn."," ","","N"
"60","COHY2","AGHY","","Cornucopiae","hyemalis","unknown","Cornucopiae hyemalis Walt."," ","","N"
"61","AGOR3","AGPE","","Agrostis","oreophila","unknown","Agrostis oreophila Trin."," ","","N"
"62","COPE7","AGPE","","Cornucopiae","perennans","unknown","Cornucopiae perennans Walt."," ","","N"
"63","AGSC6","AGPE","","Agrostis","schweinitzii","unknown","Agrostis schweinitzii Trin."," ","","N"
"64","AGPEA","AGPE","","Agrostis","perennans","unknown","Agrostis perennans (Walt.) Tuckerman var. aestivalis Vasey"," ","","N"
"65","AGPE","AGPE","Poaceae","Agrostis","perennans","C3","Agrostis perennans (Walt.) Tuckerman","upland bentgrass","7,65,90","N"
"66","AGEL5","AGPE","","Agrostis","elata","unknown","Agrostis elata (Pursh) Trin."," ","","N"
"67","AGPEE","AGPE","","Agrostis","perennans","unknown","Agrostis perennans (Walt.) Tuckerman var. elata (Pursh) A.S. Hitchc."," ","","N"
"68","AGAL8","AGPE","","Agrostis","altissima","unknown","Agrostis altissima (Walt.) Tuckerman"," ","","N"
"69","AGROP2","AGROP2","Poaceae","Agropyron","Gaertn.","","Agropyron Gaertn.","wheatgrass","","I"
"70","AGROS2","AGROS2","Poaceae","Agrostis","L.","","Agrostis L.","bentgrass","","UNK"
