"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"1","ABILD","ABILD","Cyperaceae","Abildgaardia","Vahl","","Abildgaardia Vahl","sedge","","N"
"2","FIOV","ABOV","","Fimbristylis","ovata","C4","Fimbristylis ovata (Burm. f.) J. Kern"," ","323","N"
"3","ABOV","ABOV","Cyperaceae","Abildgaardia","ovata","unknown","Abildgaardia ovata (Burm. f.) Kral","flatspike sedge","","N"
"4","ABMO4","ABOV","","Abildgaardia","monostachya","unknown","Abildgaardia monostachya (L.) Vahl"," ","","N"
"5","CYMO10","ABOV","","Cyperus","monostachyos","unknown","Cyperus monostachyos L."," ","","N"
"6","FIMO2","ABOV","","Fimbristylis","monostachya","C4","Fimbristylis monostachya (L.) Hassk."," ","17,51,266","N"
"7","AGEL4","AGEL4","Poaceae","Agrostis","elliottiana","unknown","Agrostis elliottiana J.A. Schultes","Elliott's bentgrass","","STATE"
"8","AGEX2","AGEL4","","Agrostis","exigua","unknown","Agrostis exigua Thurb."," ","","STATE"
"9","AGHY","AGHY","Poaceae","Agrostis","hyemalis","C3","Agrostis hyemalis (Walt.) B.S.P.","winter bentgrass","7,278","N"
"10","AGAN2","AGHY","","Agrostis","antecedens","unknown","Agrostis antecedens Bickn."," ","","N"
"11","COHY2","AGHY","","Cornucopiae","hyemalis","unknown","Cornucopiae hyemalis Walt."," ","","N"
"12","AGROS2","AGROS2","Poaceae","Agrostis","L.","","Agrostis L.","bentgrass","","N"
"13","ANBI","ANBI","Poaceae","Andropogon","bicornis","C4","Andropogon bicornis L.","barbas de indio","169,184,185","N"
"14","ANDRO2","ANDRO2","Poaceae","Andropogon","L.","","Andropogon L.","bluestem","","N"
"15","ANGL2","ANGL2","Poaceae","Andropogon","glomeratus","C4","Andropogon glomeratus (Walt.) B.S.P.","bushy bluestem","1,7,32,65,90,100,121,245,340,377,410,546","N"
"16","ANGLP","ANGLP","Poaceae","Andropogon","glomeratus","unknown","Andropogon glomeratus (Walt.) B.S.P. var. pumilus Vasey ex L.H. Dewey","bushy bluestem","","N"
"17","ANTE14","ANGLP","","Andropogon","tenuispatheus","unknown","Andropogon tenuispatheus (Nash) Nash"," ","","N"
"18","ANGR5","ANGR5","Poaceae","Andropogon","gracilis","unknown","Andropogon gracilis Spreng.","wire bluestem","","N"
"19","SCSE3","ANGR5","","Schizachyrium","sericatum","unknown","Schizachyrium sericatum (Swallen) Gould"," ","","N"
"20","SCGR2","ANGR5","","Schizachyrium","gracile","unknown","Schizachyrium gracile (Spreng.) Nash"," ","","N"
"21","ANSE14","ANGR5","","Andropogon","sericatus","unknown","Andropogon sericatus Swallen"," ","","N"
"22","ANHE3","ANHE3","Poaceae","Anthephora","hermaphrodita","C4","Anthephora hermaphrodita (L.) Kuntze","oldfield grass","1,90,199,377","N"
"23","TRHE4","ANHE3","","Tripsacum","hermaphrodita","unknown","Tripsacum hermaphrodita L."," ","","N"
"24","ANLE","ANLE","Poaceae","Andropogon","leucostachyus","C4","Andropogon leucostachyus Kunth","matojillo bluestem","185","N"
"25","ANTHE3","ANTHE3","Poaceae","Anthephora","Schreb.","","Anthephora Schreb.","oldfield grass","","N"
"26","ANVI2","ANVI2","Poaceae","Andropogon","virginicus","C4","Andropogon virginicus L.","broomsedge bluestem","1,7,54,75,90,100,121,185,199,282,410","N"
"27","ANVIT2","ANVIV","","Andropogon","virginicus","unknown","Andropogon virginicus L. var. tetrastachyus (Ell.) Hack."," ","","N"
"28","ANVIV","ANVIV","Poaceae","Andropogon","virginicus","unknown","Andropogon virginicus L. var. virginicus","broomsedge bluestem","","N"
"29","ARADM","ARAD","","Aristida","adscensionis","C4","Aristida adscensionis L. var. modesta Hack."," ","472","N"
"30","ARADA","ARAD","","Aristida","adscensionis","unknown","Aristida adscensionis L. var. abortiva Beetle"," ","","N"
"31","ARAD","ARAD","Poaceae","Aristida","adscensionis","C4","Aristida adscensionis L.","sixweeks threeawn","1,7,18,47,90,179,185,250,262,269,377,378,379,403,530,555,563,636","N"
"32","ARFA4","ARAD","","Aristida","fasciculata","unknown","Aristida fasciculata Torr."," ","","N"
