"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"1","ACAR14","ACAR14","Poaceae","Achnatherum","aridum","unknown","Achnatherum aridum (M.E. Jones) Barkworth","Mormon needlegrass","","N"
"2","STAR2","ACAR14","","Stipa","arida","unknown","Stipa arida M.E. Jones"," ","","N"
"3","STBL4","ACBL","","Stipa","bloomeri","unknown","Stipa bloomeri Boland."," ","","N"
"4","STBL5","ACBL","","Stiporyzopsis","bloomeri","unknown","Stiporyzopsis bloomeri (Boland.) B.L. Johnson"," ","","N"
"5","ACBL","ACBL","Poaceae","Achnatherum","xbloomeri","unknown","Achnatherum xbloomeri (Boland.) Barkworth","","","N"
"6","ORBL","ACBL","","Oryzopsis","bloomeri","unknown","Oryzopsis bloomeri (Boland.) Ricker"," ","","N"
"7","ORCA9","ACCA32","","Oryzopsis","caduca","unknown","Oryzopsis caduca Beal"," ","","I"
"8","ACCA32","ACCA32","Poaceae","Achnella","caduca","unknown","Achnella caduca (Beal) Barkworth","Mandan ricegrass","","I"
"9","STCA13","ACCA32","","Stiporyzopsis","caduca","unknown","Stiporyzopsis caduca (Beal) B.L. Johnson & Rogler"," ","","I"
"10","STCA22","ACCA32","","Stipa","caduca","unknown","Stipa caduca (Beal) Scribn."," ","","I"
"11","ACCL7","ACCL7","Poaceae","Achnatherum","clandestinum","unknown","Achnatherum clandestinum (Hack.) Barkworth","Mexican ricegrass","","I"
"12","STCL5","ACCL7","","Stipa","clandestina","unknown","Stipa clandestina Hack."," ","","I"
"13","STCO11","ACCO22","","Stipa","contracta","unknown","Stipa contracta (B.L. Johnson) W.A. Weber"," ","","N"
"14","ORHYC","ACCO22","","Oryzopsis","hymenoides","unknown","Oryzopsis hymenoides (Roemer & J.A. Schultes) Ricker ex Piper var. contracta B.L. Johnson"," ","","N"
"15","ORCO3","ACCO22","","Oryzopsis","contracta","unknown","Oryzopsis contracta (B.L. Johnson) Schlechter"," ","","N"
"16","ACCO22","ACCO22","Poaceae","Achnatherum","contractum","unknown","Achnatherum contractum (B.L. Johnson) Barkworth","contracted ricegrass","","N"
"17","STCU2","ACCU6","","Stipa","curvifolia","unknown","Stipa curvifolia Swallen"," ","","N"
"18","ACCU6","ACCU6","Poaceae","Achnatherum","curvifolium","unknown","Achnatherum curvifolium (Swallen) Barkworth","Guadalupe ricegrass","","N"
"19","ACEM4","ACEM4","Poaceae","Achnatherum","eminens","unknown","Achnatherum eminens (Cav.) Barkworth","southwestern needlegrass","","N"
"20","STEM2","ACEM4","","Stipa","eminens","unknown","Stipa eminens Cav."," ","","N"
"21","ACHNA","ACHNA","Poaceae","Achnatherum","Beauv.","","Achnatherum Beauv.","needlegrass","","UNK"
"22","ACHNE","ACHNE","Poaceae","Achnella","Barkworth","","Achnella Barkworth","ricegrass","","I"
"23","STHY6","ACHY","","Stipa","hymenoides","unknown","Stipa hymenoides Roemer & J.A. Schultes"," ","","N"
"24","ACHY","ACHY","Poaceae","Achnatherum","hymenoides","unknown","Achnatherum hymenoides (Roemer & J.A. Schultes) Barkworth","Indian ricegrass","","N"
"25","ERCU9","ACHY","","Eriocoma","cuspidata","unknown","Eriocoma cuspidata Nutt."," ","","N"
"26","ORHY","ACHY","","Oryzopsis","hymenoides","C3","Oryzopsis hymenoides (Roemer & J.A. Schultes) Ricker ex Piper"," ","7,34,65,120,170,179,299,385,634","N"
"27","ACLE9","ACLE9","Poaceae","Achnatherum","lettermanii","unknown","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass","","N"
"28","STLE4","ACLE9","","Stipa","lettermanii","unknown","Stipa lettermanii Vasey"," ","","N"
"29","STLO3","ACLO7","","Stipa","lobata","unknown","Stipa lobata Swallen"," ","","N"
"30","ACLO7","ACLO7","Poaceae","Achnatherum","lobatum","unknown","Achnatherum lobatum (Swallen) Barkworth","littleawn needlegrass","","N"
"31","ACNE10","ACNE10","Poaceae","Achnatherum","nevadense","unknown","Achnatherum nevadense (B.L. Johnston) Barkworth","Nevada needlegrass","","N"
"32","STNE4","ACNE10","","Stipa","nevadensis","unknown","Stipa nevadensis B.L. Johnson"," ","","N"
