"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"47","ACPE13","ACPE13","Poaceae","Achnatherum","perplexum","unknown","Achnatherum perplexum Hoge & Barkworth","New Mexico needlegrass","","N"
"48","ACPI2","ACPI2","Poaceae","Achnatherum","pinetorum","unknown","Achnatherum pinetorum (M.E. Jones) Barkworth","pine needlegrass","","N"
"49","STPI2","ACPI2","","Stipa","pinetorum","unknown","Stipa pinetorum M.E. Jones"," ","","N"
"50","STRO3","ACRO7","","Stipa","robusta","C3","Stipa robusta (Vasey) Scribn."," ","7,90,179","N"
"51","ACRO7","ACRO7","Poaceae","Achnatherum","robustum","unknown","Achnatherum robustum (Vasey) Barkworth","sleepygrass","","N"
"52","STVA4","ACRO7","","Stipa","vaseyi","unknown","Stipa vaseyi Scribn."," ","","N"
"53","ACSC11","ACSC11","Poaceae","Achnatherum","scribneri","unknown","Achnatherum scribneri (Vasey) Barkworth","Scribner needlegrass","","N"
"54","STSC2","ACSC11","","Stipa","scribneri","unknown","Stipa scribneri Vasey"," ","","N"
"55","STSP3","ACSP12","","Stipa","speciosa","unknown","Stipa speciosa Trin. & Rupr."," ","","N"
"56","ACSP12","ACSP12","Poaceae","Achnatherum","speciosum","unknown","Achnatherum speciosum (Trin. & Rupr.) Barkworth","desert needlegrass","","N"
"57","AETA3","AECY","","Aegilops","tauschii","unknown","Aegilops tauschii auct. non Coss."," ","","I"
"58","TRCY3","AECY","","Triticum","cylindricum","unknown","Triticum cylindricum (Host) Ces., Pass. & Gib."," ","","I"
"59","AECY","AECY","Poaceae","Aegilops","cylindrica","C3","Aegilops cylindrica Host","jointed goatgrass","7,90","I"
"60","CYCY5","AECY","","Cylindropyrum","cylindricum","unknown","Cylindropyrum cylindricum (Host) A. Löve"," ","","I"
"61","AECYR","AECY","","Aegilops","cylindrica","unknown","Aegilops cylindrica Host var. rubiginosa Popova"," ","","I"
"62","AEGIL","AEGIL","Poaceae","Aegilops","L.","","Aegilops L.","goatgrass","","I"
