"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"1","STBL4","ACBL","","Stipa","bloomeri","unknown","Stipa bloomeri Boland."," ","","N"
"2","STBL5","ACBL","","Stiporyzopsis","bloomeri","unknown","Stiporyzopsis bloomeri (Boland.) B.L. Johnson"," ","","N"
"3","ACBL","ACBL","Poaceae","Achnatherum","xbloomeri","unknown","Achnatherum xbloomeri (Boland.) Barkworth","","","N"
"4","ORBL","ACBL","","Oryzopsis","bloomeri","unknown","Oryzopsis bloomeri (Boland.) Ricker"," ","","N"
"5","ORCA9","ACCA32","","Oryzopsis","caduca","unknown","Oryzopsis caduca Beal"," ","","I"
"6","ACCA32","ACCA32","Poaceae","Achnella","caduca","unknown","Achnella caduca (Beal) Barkworth","Mandan ricegrass","","I"
"7","STCA13","ACCA32","","Stiporyzopsis","caduca","unknown","Stiporyzopsis caduca (Beal) B.L. Johnson & Rogler"," ","","I"
"8","STCA22","ACCA32","","Stipa","caduca","unknown","Stipa caduca (Beal) Scribn."," ","","I"
"9","STCO11","ACCO22","","Stipa","contracta","unknown","Stipa contracta (B.L. Johnson) W.A. Weber"," ","","N"
"10","ORHYC","ACCO22","","Oryzopsis","hymenoides","unknown","Oryzopsis hymenoides (Roemer & J.A. Schultes) Ricker ex Piper var. contracta B.L. Johnson"," ","","N"
"11","ORCO3","ACCO22","","Oryzopsis","contracta","unknown","Oryzopsis contracta (B.L. Johnson) Schlechter"," ","","N"
"12","ACCO22","ACCO22","Poaceae","Achnatherum","contractum","unknown","Achnatherum contractum (B.L. Johnson) Barkworth","contracted ricegrass","","N"
"13","ACHE10","ACHE10","Poaceae","Achnatherum","hendersonii","unknown","Achnatherum hendersonii (Vasey) Barkworth","Henderson's needlegrass","","N"
"14","ORHE","ACHE10","","Oryzopsis","hendersonii","unknown","Oryzopsis hendersonii Vasey"," ","","N"
"15","STHE5","ACHE10","","Stipa","hendersonii","unknown","Stipa hendersonii (Vasey) Muhl."," ","","N"
"16","ACHNA","ACHNA","Poaceae","Achnatherum","Beauv.","","Achnatherum Beauv.","needlegrass","","N"
"17","ACHNE","ACHNE","Poaceae","Achnella","Barkworth","","Achnella Barkworth","ricegrass","","I"
"18","STHY6","ACHY","","Stipa","hymenoides","unknown","Stipa hymenoides Roemer & J.A. Schultes"," ","","N"
"19","ACHY","ACHY","Poaceae","Achnatherum","hymenoides","unknown","Achnatherum hymenoides (Roemer & J.A. Schultes) Barkworth","Indian ricegrass","","N"
"20","ERCU9","ACHY","","Eriocoma","cuspidata","unknown","Eriocoma cuspidata Nutt."," ","","N"
"21","ORHY","ACHY","","Oryzopsis","hymenoides","C3","Oryzopsis hymenoides (Roemer & J.A. Schultes) Ricker ex Piper"," ","7,34,65,120,170,179,299,385,634","N"
"22","ACLE8","ACLE8","Poaceae","Achnatherum","lemmonii","unknown","Achnatherum lemmonii (Swallen) Barkworth","Lemmon's needlegrass","","N"
"23","ACLE9","ACLE9","Poaceae","Achnatherum","lettermanii","unknown","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass","","N"
"24","STLE4","ACLE9","","Stipa","lettermanii","unknown","Stipa lettermanii Vasey"," ","","N"
"25","STLEJ","ACLEL","","Stipa","lemmonii","unknown","Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn."," ","","N"
"26","ACLEL","ACLEL","Poaceae","Achnatherum","lemmonii","unknown","Achnatherum lemmonii (Swallen) Barkworth var. lemmonii","Lemmon's needlegrass","","N"
"27","STLE2","ACLEL","","Stipa","lemmonii","unknown","Stipa lemmonii (Vasey) Scribn."," ","","N"
"28","ACNE10","ACNE10","Poaceae","Achnatherum","nevadense","unknown","Achnatherum nevadense (B.L. Johnston) Barkworth","Nevada needlegrass","","N"
