"domainid","siteid","count"
"D01","BART",71
"D01","HARV",157
"D02","BLAN",4
"D02","SCBI",15
"D02","SERC",9
"D03","DSNY",5
"D03","JERC",17
"D03","OSBS",67
"D04","GUAN",27
"D05","STEI",11
"D05","TREE",7
"D05","UNDE",8
"D06","KONZ",8
"D06","UKFS",168
"D07","GRSM",46
"D07","MLBS",2
"D07","ORNL",42
"D08","DELA",18
"D08","LENO",5
"D08","TALL",17
"D10","RMNP",1
"D11","CLBJ",18
"D12","YELL",5
"D13","MOAB",1
"D13","NIWO",56
"D14","SRER",17
"D15","ONAQ",208
"D16","ABBY",7
"D16","WREF",4
"D17","SJER",4
"D17","SOAP",64
"D17","TEAK",108
"D19","BONA",39
"D19","DEJU",11
"D19","HEAL",9
"D20","PUUM",3
