siteID,sampleID,treatment,dryMass,sizeCategory
DEJU,DEJU_045_549_south,ss10,0.211,0_1
DEJU,DEJU_045_549_south,ss10,0.1371,1_2
DEJU,DEJU_045_549_south,ss10,0.181,2_10
DEJU,DEJU_045_549_south,ss15,0.2962,0_1
DEJU,DEJU_045_549_south,ss15,0.1781,1_2
DEJU,DEJU_045_549_south,ss15,0.1121,2_10
DEJU,DEJU_045_549_south,25%,0.6411,0_1
DEJU,DEJU_045_549_south,25%,0.334,1_2
DEJU,DEJU_045_549_south,25%,0,2_10
DEJU,DEJU_045_549_south,50%,1.1671,0_1
DEJU,DEJU_045_549_south,50%,1.671,1_2
DEJU,DEJU_045_549_south,50%,1.0006,2_10
DEJU,DEJU_045_549_south,WholeCore,2.3154,0_1
DEJU,DEJU_045_549_south,WholeCore,2.3202,1_2
DEJU,DEJU_045_549_south,WholeCore,1.2937,2_10
DEJU,DEJU_046_033_south,10%,0.1305,0_1
DEJU,DEJU_046_033_south,10%,0.1463,1_2
DEJU,DEJU_046_033_south,10%,0.2717,2_10
DEJU,DEJU_046_033_south,15%,0.4239,0_1
DEJU,DEJU_046_033_south,15%,0.2675,1_2
DEJU,DEJU_046_033_south,15%,0,2_10
DEJU,DEJU_046_033_south,25%,0.9571,0_1
DEJU,DEJU_046_033_south,25%,0.5124,1_2
DEJU,DEJU_046_033_south,25%,0.7973,2_10
DEJU,DEJU_046_033_south,50%,1.856,0_1
DEJU,DEJU_046_033_south,50%,1.1732,1_2
DEJU,DEJU_046_033_south,50%,0.5202,2_10
DEJU,DEJU_046_033_south,WholeCore,3.3675,0_1
DEJU,DEJU_046_033_south,WholeCore,2.0994,1_2
DEJU,DEJU_046_033_south,WholeCore,1.5892,2_10
DEJU,DEJU_047_015_south,10%,0.0723,0_1
DEJU,DEJU_047_015_south,10%,0,1_2
DEJU,DEJU_047_015_south,10%,0.1499,2_10
DEJU,DEJU_047_015_south,15%,0.1477,0_1
DEJU,DEJU_047_015_south,15%,0.0866,1_2
DEJU,DEJU_047_015_south,15%,1.1803,2_10
DEJU,DEJU_047_015_south,25%,0.6967,0_1
DEJU,DEJU_047_015_south,25%,0.2802,1_2
DEJU,DEJU_047_015_south,25%,1.576,2_10
DEJU,DEJU_047_015_south,50%,2.1587,0_1
DEJU,DEJU_047_015_south,50%,0.5741,1_2
DEJU,DEJU_047_015_south,50%,0.8759,2_10
DEJU,DEJU_047_015_south,WholeCore,3.0754,0_1
DEJU,DEJU_047_015_south,WholeCore,0.9409,1_2
DEJU,DEJU_047_015_south,WholeCore,3.7821,2_10
DEJU,DEJU_048_124_south,10%,0.0216,0_1
DEJU,DEJU_048_124_south,10%,0.0141,1_2
DEJU,DEJU_048_124_south,10%,0.0121,2_10
DEJU,DEJU_048_124_south,15%,0.1272,0_1
DEJU,DEJU_048_124_south,15%,0.0276,1_2
DEJU,DEJU_048_124_south,15%,0.791,2_10
DEJU,DEJU_048_124_south,25%,0.302,0_1
DEJU,DEJU_048_124_south,25%,0.1365,1_2
DEJU,DEJU_048_124_south,25%,0.0715,2_10
DEJU,DEJU_048_124_south,50%,1.1715,0_1
DEJU,DEJU_048_124_south,50%,0.4223,1_2
DEJU,DEJU_048_124_south,50%,0.4603,2_10
DEJU,DEJU_048_124_south,WholeCore,1.6223,0_1
DEJU,DEJU_048_124_south,WholeCore,0.6005,1_2
DEJU,DEJU_048_124_south,WholeCore,1.3349,2_10
DEJU,DEJU_049_385_south,10%,0.0629,0_1
DEJU,DEJU_049_385_south,10%,0.0757,1_2
DEJU,DEJU_049_385_south,10%,0,2_10
DEJU,DEJU_049_385_south,15%,0.1398,0_1
DEJU,DEJU_049_385_south,15%,0.0917,1_2
DEJU,DEJU_049_385_south,15%,0.6735,2_10
DEJU,DEJU_049_385_south,25%,0.3746,0_1
DEJU,DEJU_049_385_south,25%,0.2065,1_2
DEJU,DEJU_049_385_south,25%,0,2_10
DEJU,DEJU_049_385_south,50%,1.1409,0_1
DEJU,DEJU_049_385_south,50%,0.4741,1_2
DEJU,DEJU_049_385_south,50%,0.493,2_10
DEJU,DEJU_049_385_south,WholeCore,1.7182,0_1
DEJU,DEJU_049_385_south,WholeCore,0.848,1_2
DEJU,DEJU_049_385_south,WholeCore,1.1665,2_10
DEJU,DEJU_050_440_south,10%,0.0055,0_1
DEJU,DEJU_050_440_south,10%,0,1_2
DEJU,DEJU_050_440_south,10%,0,2_10
DEJU,DEJU_050_440_south,15%,0.0323,0_1
DEJU,DEJU_050_440_south,15%,0.1231,1_2
DEJU,DEJU_050_440_south,15%,0.3186,2_10
DEJU,DEJU_050_440_south,25%,0.0807,0_1
DEJU,DEJU_050_440_south,25%,0.2505,1_2
DEJU,DEJU_050_440_south,25%,0.1023,2_10
DEJU,DEJU_050_440_south,50%,0.861,0_1
DEJU,DEJU_050_440_south,50%,1.1451,1_2
DEJU,DEJU_050_440_south,50%,0.5033,2_10
DEJU,DEJU_050_440_south,WholeCore,0.9795,0_1
