allometry_ID,taxonID,freq,allometry_ID,acceptedTaxonID,taxonRank,family,genus,specificEpithet,spg_gcm3,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
,ABLO,683,,ABLO,species,Pinaceae,Abies,lowiana,0.347,average of 8 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
,ABPR,4,,ABPR,species,Pinaceae,Abies,procera,0.37,Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
,JUCO6,46,,JUCO6,species,Cupressaceae,Juniperus,communis,0.517,Zanne et al 2009,yes,,,forest,10 of 19 associations forested in http://usnvc.org/explore-classification/ 
,THUJA,73,,THUJA,genus,Cupressaceae,Thuja,sp.,0.3,average of 2 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
,JUSC2,1,,JUSC2,species,Cupressaceae,Juniperus,scopulorum,0.447,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
,JUNIP,349,,JUNIP,genus,Cupressaceae,Juniperus,sp.,0.447,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
,PICL,5,,PICL,species,Pinaceae,Pinus,clausa,0.460,Zanne et al 2009,yes,,,woodland,6 of 9 associations woodland in http://usnvc.org/explore-classification/ 
,ACGL,2,,ACGL,species,Aceraceae,Acer,glabrum,0.468,average of 8 NA species in Zanne et al 2009,yes,,,,
,ACGLD4,1,,ACGLD4,variety,Aceraceae,Acer,glabrum,0.468,average of 8 NA species in Zanne et al 2009,yes,,,,
,ALNUS,1711,,ALNUS,genus,Betulaceae,Alnus,sp.,0.37,average of 1 NA specie in Zanne et al 2009,yes,,,,
,BEGL,13,,BEGL,species,Betulaceae,Betula,glandulosa,0.517,average of 6 NA species in Zanne et al 2009,yes,,,,
,BEGL/BENA,2448,,BEGL/BENA,speciesGroup,Betulaceae,Betula,,0.517,average of 6 NA species in Zanne et al 2009,yes,,,,
,CACAV,38,,CACAV,subspecies,Betulaceae,Carpinus,caroliniana,0.58,Zanne et al 2009,yes,,,,
,CACA38,1,,CACA38,species,Juglandaceae,Carya,carolinae-septentrionalis,0.611,average of 10 NA species in Zanne et al 2009,yes,,,,
