"plotID","aSubplotID","bSubplotID"
"TEAK_043",21,23
"TEAK_044",21,39
"TEAK_045",23,39
"TEAK_046",39,41
"TEAK_047",21,41
"TEAK_048",21,41
"TEAK_049",23,41
"TEAK_050",21,41
"TEAK_051",21,41
"TEAK_052",23,41
"TEAK_053",21,41
"TEAK_054",23,41
"TEAK_055",23,39
"TEAK_056",21,39
"TEAK_057",21,23
"TEAK_058",21,41
"TEAK_059",21,41
"TEAK_060",21,23
"TEAK_061",21,41
"TEAK_062",21,41
