"plotID","aSubplotID","bSubplotID"
"LENO_061",21,41
"LENO_062",23,41
"LENO_063",23,39
"LENO_064",23,41
"LENO_065",23,41
"LENO_066",39,41
"LENO_067",21,41
"LENO_068",39,41
"LENO_069",21,23
"LENO_070",21,41
