"plotID","aSubplotID","bSubplotID"
"UNDE_037",39,41
"UNDE_038",23,41
"UNDE_043",23,39
"UNDE_044",21,39
"UNDE_045",39,41
"UNDE_047",21,39
"UNDE_048",39,41
"UNDE_049",21,39
"UNDE_050",21,39
"UNDE_052",21,39
"UNDE_053",21,23
"UNDE_054",21,23
"UNDE_055",23,39
"UNDE_056",23,41
"UNDE_057",21,23
"UNDE_058",23,41
"UNDE_059",23,39
"UNDE_060",21,23
"UNDE_061",23,41
"UNDE_065",21,23
