"siteid","75th","95th"
"BONA",14.6,22
"DEJU",12.4,16.8
"HEAL",14.5,16.3
"NIWO",13.4,26.9
"RMNP",24.5,34.7
"SJER",25.9,44.4
"SOAP",19.8,46.1
"TEAK",25.9,56.9
"WREF",23,55.8
"YELL",30.5,50.3
