"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1","D07","MLBS","MLBS_008","2018-07-24T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",130,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","D07","MLBS","MLBS_018","2018-07-24T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",230,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","D07","MLBS","MLBS_076","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",20,"Y",15.3,21,NA,"00004",10.4,"BELE","Betula lenta L.","3 - Heartwood sound",">=10cm","3"
"4","D07","MLBS","MLBS_013","2018-07-26T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",280,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","D07","MLBS","MLBS_076","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",140,"Y",4.5,24.4,NA,"00001",7.7,"PIEC2","Pinus echinata Mill.","3 - Heartwood sound",">=10cm","3"
"6","D07","MLBS","MLBS_076","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",140,"Y",11.5,14.1,NA,"00002",4.8,"PIEC2","Pinus echinata Mill.","3 - Heartwood sound",">=10cm","3"
"7","D07","MLBS","MLBS_076","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",20,"Y",5.9,22.2,18.9,"00003",5.4,"PIEC2","Pinus echinata Mill.","3 - Heartwood sound",">=10cm","3"
"8","D07","MLBS","MLBS_076","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",20,"Y",22.5,23.4,15,"00005",9.5,"PIEC2","Pinus echinata Mill.","4 - Rotten throughout",">=10cm","4"
"9","D07","MLBS","MLBS_013","2018-07-26T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","D07","MLBS","MLBS_076","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",20,"Y",23.2,28,26.5,"00006",7.6,"PIEC2","Pinus echinata Mill.","3 - Heartwood sound",">=10cm","3"
"11","D07","MLBS","MLBS_075","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",300,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","D07","MLBS","MLBS_075","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",180,"Y",7.9,9.9,9.5,"L01",7.7,"QURU","Quercus rubra L.","3 - Heartwood sound","5-10cm","3"
"13","D07","MLBS","MLBS_075","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",60,"Y",0.4,2.5,NA,"L02",1.3,"BELE","Betula lenta L.","3 - Heartwood sound","2-5cm","3"
"14","D07","MLBS","MLBS_064","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",280,"Y",4.8,19.6,14.6,"00008",6.2,"QURU","Quercus rubra L.","4 - Rotten throughout",">=10cm","4"
"15","D07","MLBS","MLBS_075","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",60,"Y",2.9,7.1,7.7,"L03",5.1,"ACRU","Acer rubrum L.","3 - Heartwood sound","5-10cm","3"
"16","D07","MLBS","MLBS_075","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",60,"Y",28.2,35,30.4,"00010",2.9,"QUAL","Quercus alba L.","3 - Heartwood sound",">=10cm","3"
"17","D07","MLBS","MLBS_064","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",160,"Y",0.1,6.2,NA,"L01",1.9,"QUAL","Quercus alba L.","3 - Heartwood sound","5-10cm","3"
"18","D07","MLBS","MLBS_064","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",160,"Y",4.1,12,NA,"00007",1.6,"QUAL","Quercus alba L.","3 - Heartwood sound",">=10cm","3"
"19","D07","MLBS","MLBS_064","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",280,"Y",83,50.4,8.2,"00009",5.2,"QUERC","Quercus sp.","5 - No structural integrity",">=10cm","5"
"20","D07","MLBS","MLBS_064","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",40,"Y",0.2,9.5,NA,"L02",4.1,"PIEC2","Pinus echinata Mill.","3 - Heartwood sound","5-10cm","3"
"21","D07","MLBS","MLBS_061","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",140,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","D07","MLBS","MLBS_061","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",20,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","D07","MLBS","MLBS_061","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",260,"Y",1.3,5.2,4.2,"L01",4,"ULRU","Ulmus rubra Muhl.","3 - Heartwood sound","5-10cm","3"
"24","D07","MLBS","MLBS_061","2018-05-09T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",260,"Y",1.3,4.4,NA,"L02",1.8,"ULRU","Ulmus rubra Muhl.","3 - Heartwood sound","2-5cm","3"
"25","D07","MLBS","MLBS_013","2018-07-26T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",160,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","D07","MLBS","MLBS_005","2018-06-15T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",320,"Y",0.1,7,6.6,"L01",2.6,"QURU","Quercus rubra L.","4 - Rotten throughout","5-10cm","4"
"27","D07","MLBS","MLBS_005","2018-06-15T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",80,"Y",1.2,6.3,7,"L02",2.4,"QURU","Quercus rubra L.","3 - Heartwood sound","5-10cm","3"
"28","D07","MLBS","MLBS_005","2018-06-15T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",200,"Y",35,25.4,NA,"00134",7.2,"PIST","Pinus strobus L.","3 - Heartwood sound",">=10cm","3"
"29","D07","MLBS","MLBS_005","2018-06-15T00:00:00.000Z",2018,"CDW.2018.MLBS","5","NEON.DOC.001711vD",320,"Y",3.4,11,10.5,"00135",5.5,"QURU","Quercus rubra L.","2 - Sound round",">=10cm","2"
