"","plotid_parent","domainid","siteid","tallydate","volumefactor_ingest","particle_count","lidsazimuth","logmaxdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"1","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,80,11.1,"PINUS","4 - Rotten throughout","90",6.7,16.3,"PINUS","Y",">=10cm","4"
"2","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,320,17.3,"PINUS","5 - No structural integrity","95",3.95,2.9,"PINUS","Y",">=10cm","5"
"3","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,320,16.2,"NYSY","3 - Heartwood sound","96",4.65,7.4,"NYSY","Y",">=10cm","3"
"4","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,320,24,"PINUS","4 - Rotten throughout","97",20.8,13.6,"PINUS","Y",">=10cm","4"
"5","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,320,19,"PINUS","4 - Rotten throughout","98",21.8,18,"PINUS","Y",">=10cm","4"
"6","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,320,23.6,"PINUS","5 - No structural integrity","99",23,15.6,"PINUS","Y",">=10cm","5"
"7","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,320,23.6,"PINUS","4 - Rotten throughout","179",44,14.8,"PINUS","Y",">=10cm","4"
"8","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,80,25.1,"PINUS","4 - Rotten throughout","94",50,13.3,"PINUS","Y",">=10cm","4"
"9","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,320,32,"PIEC2","4 - Rotten throughout","180",74.15,13.8,"PIEC2","Y",">=10cm","4"
"10","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,80,27.4,"PINUS","4 - Rotten throughout","92",31.2,2.1,"PINUS","Y",">=10cm","4"
"11","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,80,28.3,"PIEC2","4 - Rotten throughout","93",41.9,17.3,"PIEC2","Y",">=10cm","4"
"15","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,200,33.2,"PINUS","4 - Rotten throughout","88",63.6,3.1,"PINUS","Y",">=10cm","4"
"16","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,200,38.56,"PINUS","5 - No structural integrity","89",101.9,4,"PINUS","Y",">=10cm","5"
"18","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,200,23.8,"PIEC2","4 - Rotten throughout","85",40.4,2.2,"PIEC2","Y",">=10cm","4"
"19","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,80,15.3,"PINUS","4 - Rotten throughout","91",16.05,16.2,"PINUS","Y",">=10cm","4"
"21","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,200,26.3,"PIEC2","5 - No structural integrity","86",42.2,16.1,"PIEC2","Y",">=10cm","5"
"22","ORNL_001","D07","ORNL","2017-05-18T00:00:00.000Z",5,NA,200,26.8,"PINUS","5 - No structural integrity","87",44.5,11.3,"PINUS","Y",">=10cm","5"
"24","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,330,9.6,"QURU",NA,"L03",5,14.2,"QURU","Y","5-10cm",NA
"25","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,330,9.8,"QURU",NA,"L03",5,14.2,"QURU","Y","5-10cm",NA
"26","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,330,16.1,"QUERC","4 - Rotten throughout","302",8.35,5.65,"QUERC","Y",">=10cm","4"
"27","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,330,59.8,"PINUS","5 - No structural integrity","303",55,6.7,"PINUS","Y",">=10cm","5"
"28","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,330,38.8,"QUMO4","3 - Heartwood sound","304",79.15,20.8,"QUMO4","Y",">=10cm","3"
"29","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,210,11.7,"OXAR","3 - Heartwood sound","305",9.6,8.5,"OXAR","Y",">=10cm","3"
"30","ORNL_002","D07","ORNL","2017-05-25T00:00:00.000Z",5,NA,90,14.6,"QUFA","4 - Rotten throughout","196",14.7,5.95,"QUFA","Y",">=10cm","4"
