"","domainid","siteid","plotid_parent","tallydate","volumefactor","particle_count","lidsazimuth","logdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"1","D02","SCBI","SCBI_048","2017-03-09T00:00:00.000Z","8",NA,230,14.1,"SAAL5","3 - Heartwood sound","772",1.6,3.1,"SAAL5","Y",">=10cm","3"
"2","D02","SCBI","SCBI_048","2017-03-09T00:00:00.000Z","8",NA,230,6.1,"JUNI","2 - Sound round","L01",0.7,2.6,"JUNI","Y","5-10cm","2"
"3","D02","SCBI","SCBI_048","2017-03-09T00:00:00.000Z","8",NA,230,13.9,"SAAL5","3 - Heartwood sound","87",2.2,4.4,"SAAL5","Y",">=10cm","3"
"4","D02","SCBI","SCBI_038","2017-05-10T00:00:00.000Z","8",NA,160,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"5","D02","SCBI","SCBI_038","2017-05-10T00:00:00.000Z","8",NA,280,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"6","D02","SCBI","SCBI_034","2017-05-10T00:00:00.000Z","8",NA,240,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"7","D02","SCBI","SCBI_063","2017-03-22T00:00:00.000Z","8",NA,210,21.3,"2PLANT-H","3 - Heartwood sound","98",15.6,11.4,"2PLANT-H","Y",">=10cm","3"
"8","D02","SCBI","SCBI_063","2017-03-22T00:00:00.000Z","8",NA,330,4.9,"2PLANT-H","3 - Heartwood sound","L01",0.9,1,"2PLANT-H","Y","2-5cm","3"
"9","D02","SCBI","SCBI_063","2017-03-22T00:00:00.000Z","8",NA,330,15.5,"LITU","2 - Sound round","351",11.7,12.8,"LITU","Y",">=10cm","2"
"10","D02","SCBI","SCBI_063","2017-03-22T00:00:00.000Z","8",NA,330,22.2,"QURUR","4 - Rotten throughout","122",17.8,9.1,"QURUR","Y",">=10cm","4"
"11","D02","SCBI","SCBI_063","2017-03-22T00:00:00.000Z","8",NA,90,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"12","D02","SCBI","SCBI_067","2017-03-27T00:00:00.000Z","8",NA,200,20.8,"2PLANT-H","3 - Heartwood sound","144",0,21.3,"2PLANT-H","Y",">=10cm","3"
"13","D02","SCBI","SCBI_067","2017-03-27T00:00:00.000Z","8",NA,200,24.1,"2PLANT-H","3 - Heartwood sound","144",0,21.3,"2PLANT-H","Y",">=10cm","3"
"14","D02","SCBI","SCBI_067","2017-03-27T00:00:00.000Z","8",NA,200,24.4,"2PLANT-H","3 - Heartwood sound","144",0,21.3,"2PLANT-H","Y",">=10cm","3"
