"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"SCBI","2PLANT-H","3",">=10cm",23.49,23.49,10,10
"SCBI","2PLANT-H","4",">=10cm",10.74,34.23,10,20
"SCBI","2PLANT-H","3","5-10cm",5.37,39.6,5,25
"SCBI","ROPS","3",">=10cm",4.7,44.3,10,35
"SCBI","QURUR","3",">=10cm",4.36,48.66,10,45
"SCBI","FRAM2","3",">=10cm",4.03,52.69,10,55
"SCBI","SAAL5","3",">=10cm",4.03,56.72,10,65
"SCBI","JUNI","2",">=10cm",3.02,59.74,10,75
"SCBI","FRAM2","2",">=10cm",2.68,62.42,10,85
"SCBI","LITU","2",">=10cm",2.68,65.1,10,95
"SCBI","QUERC","3",">=10cm",2.68,67.78,10,105
"SCBI","CATO6","3",">=10cm",2.35,70.13,10,115
"SCBI","PIVI2","3",">=10cm",2.01,72.14,10,125
"SCBI","ROPS","2",">=10cm",1.68,73.82,10,135
"SCBI","SAAL5","2",">=10cm",1.68,75.5,10,145
"SCBI","JUNI","3",">=10cm",1.68,77.18,10,155
"SCBI","QUERC","4",">=10cm",1.68,78.86,10,165
"SCBI","QURUR","4",">=10cm",1.68,80.54,10,175
"SCBI","LITU","3",">=10cm",1.34,81.88,10,185
"SCBI","ULMUS","3",">=10cm",1.34,83.22,10,195
"SCBI","LITU","4",">=10cm",1.34,84.56,10,205
"SCBI","ACNEN","2",">=10cm",1.01,85.57,10,215
"SCBI","QURUR","2",">=10cm",1.01,86.58,10,225
"SCBI","ACNEN","2","5-10cm",1.01,87.59,5,230
"SCBI","LITU","1",">=10cm",0.67,88.26,10,240
"SCBI","CAGL8","2",">=10cm",0.67,88.93,10,250
"SCBI","QUAL","2",">=10cm",0.67,89.6,10,260
"SCBI","CAGL8","3",">=10cm",0.67,90.27,10,270
"SCBI","PLOC","3",">=10cm",0.67,90.94,10,280
"SCBI","PRSES","3",">=10cm",0.67,91.61,10,290
"SCBI","PIVI2","4",">=10cm",0.67,92.28,10,300
"SCBI","2PLANT-H","3","2-5cm",0.67,92.95,5,305
"SCBI","FRAM2","1",">=10cm",0.34,93.29,10,315
"SCBI","QUMO4","1",">=10cm",0.34,93.63,10,325
"SCBI","ACRU","2",">=10cm",0.34,93.97,10,335
"SCBI","CECAC","2",">=10cm",0.34,94.31,10,345
"SCBI","PIVI2","2",">=10cm",0.34,94.65,10,355
"SCBI","CARYA","3",">=10cm",0.34,94.99,10,365
"SCBI","QUMO4","3",">=10cm",0.34,95.33,10,375
"SCBI","QUVE","3",">=10cm",0.34,95.67,10,385
"SCBI","CARYA","4",">=10cm",0.34,96.01,10,395
"SCBI","SAAL5","5",">=10cm",0.34,96.35,10,405
"SCBI","LITU","2","2-5cm",0.34,96.69,5,410
"SCBI","COFL2","3","2-5cm",0.34,97.03,5,415
"SCBI","PIVI2","3","2-5cm",0.34,97.37,5,420
"SCBI","JUNI","2","5-10cm",0.34,97.71,5,425
"SCBI","ULMUS","2","5-10cm",0.34,98.05,5,430
"SCBI","COFL2","3","5-10cm",0.34,98.39,5,435
"SCBI","FRAM2","3","5-10cm",0.34,98.73,5,440
"SCBI","LITU","3","5-10cm",0.34,99.07,5,445
"SCBI","ROPS","3","5-10cm",0.34,99.41,5,450
"SCBI","SAAL5","3","5-10cm",0.34,99.75,5,455
"SCBI","2PLANT-H","4","5-10cm",0.34,100.09,5,460
