"country","stateProvince","county","domainName","domainID","siteName","siteID","plotType","subtype","subtypeSpecification","plotID","plotSize","plotDimensions","referencePointPosition","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","elevation","elevationUncertainty","minimumElevation","maximumElevation","slopeGradient","slopeAspect","nlcdClass","soilTypeOrder","inclusionProbability","coordinateSource","recordedDate","filteredPositions","plotPdop","plotHdop","applicableModules"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","tickPlot","","OSBS_001","1600","40m x 40m","41","29.704063","-82.008061","WGS84","17N","402485.084","3286418.93","0.25","34.42","0.34","33.32","38.09","4","152","woodyWetlands","Entisols","","GeoXH 6000","20130723","122","2.9","1.3","tck"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","mosquitoPoint","","OSBS_052","0","0m","41","29.678667","-81.955031","WGS84","17N","407591.973","3283561.241","10.15","44.13","0.22","44.13","44.13","2","76","evergreenForest","Entisols","","GeoXH 6000","20140318","302","3.2","1.5","mos|mpt"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","birdGrid","ninePoints","OSBS_002","250000","500m x 500m","B2","29.703592","-81.956766","WGS84","17N","407446.949","3286324.647","0.36","31.6","0.58","31.6","32","2","108","evergreenForest","Entisols","","GeoXH 6000","20131028","142","4","2.2","brd"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","tickPlot","","OSBS_002","1600","40m x 40m","41","29.703661","-81.958365","WGS84","17N","407292.301","3286333.576","0.14","35.77","0.24","34.53","38.89","1","153","evergreenForest","Entisols","","GeoXH 6000","20130725","124","3.7","1.5","tck"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","mammalGrid","diversity","OSBS_002","8100","90m x 90m","E5","29.705096","-81.956249","WGS84","17N","407498.318","3286490.901","0.4","31.36","0.91","29.62","32.55","1","270","evergreenForest","Entisols","","GeoXH 6000","20130614","121","4.1","2","mam"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","basePlot","","OSBS_002","1600","40m x 40m","41","29.70386","-81.956817","WGS84","17N","407442.288","3286354.411","0.18","31.51","0.17","31.23","34.69","0.57","310","evergreenForest","Entisols","","GeoXH 6000","20130725","129","3.8","2.7","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","mammalGrid","diversity","OSBS_003","8100","90m x 90m","E5","29.695023","-81.94563","WGS84","17N","408516.467","3285366.196","0.18","36.1","0.27","27.4","36.57","4.44","132.88","deciduousForest","Entisols","","GeoXH 6000","20131024","122","3","1.7","mam"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","basePlot","","OSBS_003","1600","40m x 40m","41","29.694992","-81.94742","WGS84","17N","408343.238","3285364.187","0.12","31.94","0.2","29.66","34.22","2.69","103","deciduousForest","Entisols","","GeoXH 6000","20130725","126","4","2","all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","mosquitoPoint","","OSBS_053","0","0m","41","29.678605","-81.962459","WGS84","17N","406873.168","3283560.377","10.57","48.08","0.79","48.08","48.08","1","79","evergreenForest","Entisols","","GeoXH 6000","20140318","302","5.6","2.2","mos|mpt"
"unitedStates","FL","Putnam","Southeast","D03","Ordway-Swisher Biological Station","OSBS","distributed","birdGrid","ninePoints","OSBS_004","250000","500m x 500m","B2","29.68264","-81.959883","WGS84","17N","407126.098","3284005.412","0.26","38.87","0.47","36.55","44.34","1","121","evergreenForest","Entisols","","GeoXH 6000","20131028","126","3.1","1.3","brd"
