"siteid","taxonid","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"BART","FAGR","3",">=10cm",10.08,10.08,10,10
"BART","ACRU","3",">=10cm",6.45,16.53,10,20
"BART","FAGR","2",">=10cm",6.25,22.78,10,30
"BART","FAGR","4",">=10cm",6.25,29.03,10,40
"BART","BEPAP","3",">=10cm",5.65,34.68,10,50
"BART","ACRU","2",">=10cm",5.24,39.92,10,60
"BART","BEPAP","2",">=10cm",4.84,44.76,10,70
"BART","PIRU","2",">=10cm",4.03,48.79,10,80
"BART","TSCA","2",">=10cm",3.43,52.22,10,90
"BART","2PLANT-H","3",">=10cm",3.02,55.24,10,100
"BART","TSCA","3",">=10cm",3.02,58.26,10,110
"BART","2PLANT-H","4",">=10cm",3.02,61.28,10,120
"BART","FAGR","","5-10cm",3.02,64.3,5,125
"BART","BEAL2","3",">=10cm",2.62,66.92,10,135
"BART","PIRU","3",">=10cm",2.62,69.54,10,145
"BART","ACRU","4",">=10cm",2.22,71.76,10,155
"BART","FAGR","","2-5cm",2.02,73.78,5,160
"BART","2PLANT-S","4",">=10cm",1.61,75.39,10,170
"BART","2PLANT-H","5",">=10cm",1.41,76.8,10,180
"BART","2PLANT-H","","5-10cm",1.41,78.21,5,185
"BART","TSCA","","5-10cm",1.41,79.62,5,190
"BART","2PLANT-H","2",">=10cm",1.21,80.83,10,200
"BART","FAGR","1",">=10cm",1.01,81.84,10,210
"BART","BEPAP","4",">=10cm",1.01,82.85,10,220
"BART","TSCA","4",">=10cm",1.01,83.86,10,230
"BART","BEAL2","","5-10cm",1.01,84.87,5,235
"BART","PIRU","","5-10cm",1.01,85.88,5,240
"BART","BEAL2","4",">=10cm",0.81,86.69,10,250
"BART","PIRU","4",">=10cm",0.81,87.5,10,260
"BART","ACRU","5",">=10cm",0.81,88.31,10,270
"BART","FAGR","5",">=10cm",0.81,89.12,10,280
"BART","BEPAP","","5-10cm",0.81,89.93,5,285
"BART","ACRU","1",">=10cm",0.6,90.53,10,295
"BART","ACSAS","3",">=10cm",0.6,91.13,10,305
"BART","PRPE2","3",">=10cm",0.6,91.73,10,315
"BART","2PLANT-S","5",">=10cm",0.6,92.33,10,325
"BART","PIRU","","2-5cm",0.6,92.93,5,330
"BART","ACRU","","5-10cm",0.6,93.53,5,335
"BART","BEAL2","2",">=10cm",0.4,93.93,10,345
"BART","2PLANT-S","3",">=10cm",0.4,94.33,10,355
"BART","FRAXISPP","3",">=10cm",0.4,94.73,10,365
"BART","TSCA","5",">=10cm",0.4,95.13,10,375
"BART","2PLANT-S","","5-10cm",0.4,95.53,5,380
"BART","ACPE","","5-10cm",0.4,95.93,5,385
"BART","BEAL2","1",">=10cm",0.2,96.13,10,395
"BART","BEPAP","1",">=10cm",0.2,96.33,10,405
"BART","FAGUS","1",">=10cm",0.2,96.53,10,415
"BART","FRAM2","2",">=10cm",0.2,96.73,10,425
"BART","FRAXISPP","2",">=10cm",0.2,96.93,10,435
"BART","ABBA","3",">=10cm",0.2,97.13,10,445
"BART","BEPA","3",">=10cm",0.2,97.33,10,455
"BART","ACER","4",">=10cm",0.2,97.53,10,465
"BART","POGR4","4",">=10cm",0.2,97.73,10,475
"BART","BEPAP","5",">=10cm",0.2,97.93,10,485
"BART","PIRU","5",">=10cm",0.2,98.13,10,495
"BART","2PLANT-S","","2-5cm",0.2,98.33,5,500
"BART","ACSAS","","2-5cm",0.2,98.53,5,505
"BART","BEAL2","","2-5cm",0.2,98.73,5,510
"BART","BEPA","","2-5cm",0.2,98.93,5,515
"BART","PIRE","","2-5cm",0.2,99.13,5,520
"BART","ABBA","","5-10cm",0.2,99.33,5,525
"BART","ACSAS","","5-10cm",0.2,99.53,5,530
"BART","BELE","","5-10cm",0.2,99.73,5,535
"BART","FRAM2","","5-10cm",0.2,99.93,5,540
