"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"1","D01","HARV","HARV_035","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",160,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","D01","HARV","HARV_035","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",280,"Y",0.1,14.5,14.5,"00188",3.15,"BELE","Betula lenta L.","5 - No structural integrity",">=10cm","5"
"3","D01","HARV","HARV_035","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",40,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","D01","HARV","HARV_047","2018-04-24T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",290,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","D01","HARV","HARV_047","2018-04-24T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",50,"Y",2.2,7.1,NA,"L01",3.1,"BEPAP","Betula papyrifera Marshall var. papyrifera","2 - Sound round","5-10cm","2"
"6","D01","HARV","HARV_047","2018-04-24T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",50,"Y",5,11.1,NA,"00174",7.8,"ACRU","Acer rubrum L.","3 - Heartwood sound",">=10cm","3"
"7","D01","HARV","HARV_047","2018-04-24T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",170,"Y",0.9,4.5,4,"L02",2.7,"ACRU","Acer rubrum L.","3 - Heartwood sound","2-5cm","3"
"8","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",70,"Y",8.3,27.1,20,"00200",12.2,"TSCA","Tsuga canadensis (L.) Carrière","5 - No structural integrity",">=10cm","5"
"9","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",70,"Y",25.1,18.2,20.9,"06393",3.2,"PIST","Pinus strobus L.","5 - No structural integrity",">=10cm","5"
"10","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",70,"Y",27.63,34.3,29.1,"00199",1.03,"PIST","Pinus strobus L.","5 - No structural integrity",">=10cm","5"
"11","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",70,"Y",41.43,22.6,24.7,"06392",12.8,"BEPAP","Betula papyrifera Marshall var. papyrifera","2 - Sound round",">=10cm","2"
"12","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",70,"Y",55.5,49.7,58,"00198",2.75,"FRAM2","Fraxinus americana L.","3 - Heartwood sound",">=10cm","3"
"13","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",4.5,12.6,8.1,"06388",3,"BELE","Betula lenta L.","4 - Rotten throughout",">=10cm","4"
"14","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",190,"Y",0.43,2.4,2.4,"L01",3.62,"ACPE","Acer pensylvanicum L.","2 - Sound round","2-5cm","2"
"15","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",190,"Y",7.06,23,21.5,"00197",2.5,"ACRU","Acer rubrum L.","5 - No structural integrity",">=10cm","5"
"16","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",190,"Y",9.4,16.5,10.3,"06391",8.8,"TSCA","Tsuga canadensis (L.) Carrière","5 - No structural integrity",">=10cm","5"
"17","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",190,"Y",17,19.5,NA,"00195",15.7,"BEPAP","Betula papyrifera Marshall var. papyrifera","2 - Sound round",">=10cm","2"
"18","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",190,"Y",20.46,23,9,"06390",2.25,"TSCA","Tsuga canadensis (L.) Carrière","5 - No structural integrity",">=10cm","5"
"19","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",1.2,14.5,NA,"06389",7.9,"PRSES","Prunus serotina Ehrh. var. serotina","3 - Heartwood sound",">=10cm","3"
"20","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",2.3,7.6,7,"L01",2.6,"BELE","Betula lenta L.","4 - Rotten throughout","5-10cm","4"
"21","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",3.1,24.5,14.7,"00194",3.7,"ACRU","Acer rubrum L.","5 - No structural integrity",">=10cm","5"
"22","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",9.7,20,16,"06387",2,"BEPAP","Betula papyrifera Marshall var. papyrifera","4 - Rotten throughout",">=10cm","4"
"23","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",14.2,24.1,16.1,"06386",1.9,"BEPAP","Betula papyrifera Marshall var. papyrifera","4 - Rotten throughout",">=10cm","4"
"24","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",20.5,26.7,23,"06385",5,"TSCA","Tsuga canadensis (L.) Carrière","4 - Rotten throughout",">=10cm","4"
"25","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",40.9,36.5,19.9,"06384",3.3,"TSCA","Tsuga canadensis (L.) Carrière","4 - Rotten throughout",">=10cm","4"
"26","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",49.5,51,47.2,"06383",5.4,"PIST","Pinus strobus L.","4 - Rotten throughout",">=10cm","4"
"27","D01","HARV","HARV_036","2018-04-23T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",310,"Y",59.1,51,42.1,"06382",9.3,"PIST","Pinus strobus L.","3 - Heartwood sound",">=10cm","3"
"28","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",0,"Y",3.6,10,NA,"00179",5.2,"PIRU","Picea rubens Sarg.","3 - Heartwood sound",">=10cm","3"
"29","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",0,"Y",1.1,8,NA,"L01",1.2,"PIST","Pinus strobus L.","4 - Rotten throughout","5-10cm","4"
"30","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",0,"Y",5.8,16,15,"00180",6.3,"PIRU","Picea rubens Sarg.","3 - Heartwood sound",">=10cm","3"
"31","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",0,"Y",24,19,17,"06289",6,"PIST","Pinus strobus L.","3 - Heartwood sound",">=10cm","3"
"32","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",120,"Y",4,12,NA,"06288",4.1,"PIRU","Picea rubens Sarg.","2 - Sound round",">=10cm","2"
"33","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",120,"Y",4.1,20.5,20,"00177",10.7,"PIRU","Picea rubens Sarg.","3 - Heartwood sound",">=10cm","3"
"34","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",240,"Y",3.6,10.5,NA,"00175",6.9,"ACRU","Acer rubrum L.","3 - Heartwood sound",">=10cm","3"
"35","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",240,"Y",7.7,10.5,NA,"06287",10.7,"PIRU","Picea rubens Sarg.","3 - Heartwood sound",">=10cm","3"
"36","D01","HARV","HARV_033","2018-04-25T00:00:00.000Z",2018,"CDW.2018.HARV","5","NEON.DOC.001711vD",240,"Y",7.6,13.5,11.5,"00176",4.5,"PIRU","Picea rubens Sarg.","4 - Rotten throughout",">=10cm","4"
