,easting,northing
,404705.415,3284791.698
,404706.512,3284801.638
,404707.608,3284811.577
,404708.705,3284821.517
,404709.802,3284831.457
,404710.864,3284841.083
,404711.829,3284851.036
,404712.795,3284860.990
,404713.760,3284870.943
,404714.726,3284880.896
,404715.664,3284890.567
,404716.486,3284900.533
,404717.309,3284910.499
,404718.131,3284920.465
,404718.954,3284930.431
,404719.931,3284942.273
,404720.835,3284952.232
,404721.738,3284962.191
,404722.642,3284972.150
,404723.545,3284982.109
,404724.344,3284990.914
,404725.235,3285000.874
,404726.127,3285010.834
,404727.018,3285020.795
,404727.910,3285030.755
,404728.840,3285041.147
,404729.380,3285051.132
,404729.921,3285061.118
,404730.461,3285071.103
,404731.001,3285081.089
,404731.517,3285090.616
,404732.553,3285100.562
,404733.589,3285110.508
,404734.624,3285120.455
,404735.660,3285130.401
,404736.750,3285140.867
,404737.916,3285150.799
,404739.082,3285160.731
,404740.249,3285170.662
,404741.415,3285180.594
,404742.577,3285190.490
,404744.038,3285200.383
,404745.498,3285210.276
,404746.959,3285220.168
,404748.419,3285230.061
,404749.782,3285239.289
,404750.348,3285249.273
,404750.914,3285259.257
,404751.480,3285269.241
,404752.046,3285279.225
OS08.500,404752.611,3285289.182
