,easting,northing
,387191.074,3292992.834
,387186.091,3293001.504
,387181.108,3293010.174
,387176.125,3293018.844
,387171.143,3293027.514
,387166.310,3293035.923
,387160.563,3293044.107
,387154.816,3293052.290
,387149.069,3293060.474
,387143.322,3293068.657
,387137.763,3293076.573
,387131.999,3293084.745
,387126.235,3293092.916
,387120.471,3293101.088
,387114.707,3293109.260
,387108.881,3293117.519
,387104.001,3293126.248
,387099.121,3293134.976
,387094.242,3293143.705
,387089.362,3293152.433
,387084.356,3293161.387
,387078.973,3293169.814
,387073.589,3293178.241
,387068.206,3293186.669
,387062.822,3293195.096
,387057.771,3293203.003
,387053.095,3293211.842
,387048.418,3293220.681
,387043.742,3293229.521
,387039.065,3293238.360
,387034.500,3293246.989
,387029.744,3293255.786
,387024.988,3293264.582
,387020.232,3293273.379
,387015.475,3293282.175
,387010.120,3293292.080
,387005.637,3293301.019
,387001.154,3293309.958
,386996.672,3293318.897
,386992.189,3293327.836
,386987.828,3293336.531
,386982.879,3293345.221
,386977.931,3293353.910
,386972.982,3293362.600
,386968.034,3293371.290
,386963.081,3293379.987
,386958.073,3293388.643
,386953.065,3293397.298
,386948.056,3293405.954
,386943.048,3293414.609
DT06.500,386938.302,3293422.812
