,easting,northing
,403732.464,3284611.681
,403724.875,3284618.193
,403717.286,3284624.706
,403709.698,3284631.218
,403702.109,3284637.730
,403694.335,3284644.401
,403686.738,3284650.903
,403679.140,3284657.406
,403671.543,3284663.908
,403663.945,3284670.410
,403657.302,3284676.096
,403649.556,3284682.421
,403641.811,3284688.746
,403634.065,3284695.071
,403626.319,3284701.396
,403618.923,3284707.435
,403611.264,3284713.865
,403603.605,3284720.295
,403595.947,3284726.725
,403588.288,3284733.154
,403580.801,3284739.440
,403573.163,3284745.895
,403565.526,3284752.350
,403557.888,3284758.805
,403550.251,3284765.260
,403542.110,3284772.140
,403534.437,3284778.553
,403526.764,3284784.966
,403519.092,3284791.380
,403511.419,3284797.793
,403504.215,3284803.814
,403496.556,3284810.244
,403488.898,3284816.674
,403481.239,3284823.105
,403473.581,3284829.535
,403466.663,3284835.343
,403459.034,3284841.808
,403451.404,3284848.273
,403443.775,3284854.738
,403436.146,3284861.202
,403427.935,3284868.160
,403420.218,3284874.519
,403412.500,3284880.879
,403404.783,3284887.238
,403397.065,3284893.597
,403390.151,3284899.295
,403382.500,3284905.734
,403374.849,3284912.173
,403367.198,3284918.612
,403359.547,3284925.051
OS12.500,403352.190,3284931.243
