,easting,northing
,387627.972,3292042.380
,387618.851,3292046.479
,387609.729,3292050.578
,387600.608,3292054.677
,387591.487,3292058.776
,387582.015,3292063.033
,387572.832,3292066.991
,387563.648,3292070.948
,387554.465,3292074.906
,387545.281,3292078.864
,387537.271,3292082.316
,387528.232,3292086.594
,387519.193,3292090.871
,387510.154,3292095.149
,387501.115,3292099.427
,387492.310,3292103.594
,387483.155,3292107.616
,387473.999,3292111.639
,387464.844,3292115.661
,387455.689,3292119.683
,387446.653,3292123.653
,387437.585,3292127.869
,387428.518,3292132.086
,387419.450,3292136.302
,387410.382,3292140.519
,387401.207,3292144.785
,387392.359,3292149.444
,387383.510,3292154.103
,387374.662,3292158.762
,387365.814,3292163.422
,387355.949,3292168.616
,387346.957,3292172.991
,387337.965,3292177.366
,387328.973,3292181.741
,387319.980,3292186.116
,387312.457,3292189.777
,387303.357,3292193.922
,387294.256,3292198.068
,387285.156,3292202.213
,387276.056,3292206.359
,387267.815,3292210.113
,387259.073,3292214.968
,387250.331,3292219.824
,387241.588,3292224.679
,387232.846,3292229.534
,387222.762,3292235.135
,387213.490,3292238.880
,387204.218,3292242.625
,387194.945,3292246.370
,387185.673,3292250.116
DT03.500,387176.128,3292253.971
