transectID,easting,northing
OS02,403900.214,3284937.286
OS02,403908.847,3284942.334
OS02,403917.479,3284947.381
OS02,403926.112,3284952.429
OS02,403934.745,3284957.476
OS02,403943.619,3284962.665
OS02,403952.359,3284967.524
OS02,403961.099,3284972.383
OS02,403969.839,3284977.242
OS02,403978.580,3284982.101
OS02,403988.136,3284987.414
OS02,403996.777,3284992.448
OS02,404005.417,3284997.482
OS02,404014.058,3285002.516
OS02,404022.698,3285007.550
OS02,404031.139,3285012.468
OS02,404039.776,3285017.508
OS02,404048.413,3285022.547
OS02,404057.051,3285027.587
OS02,404065.688,3285032.627
OS02,404074.268,3285037.633
OS02,404082.858,3285042.753
OS02,404091.448,3285047.873
OS02,404100.037,3285052.993
OS02,404108.627,3285058.113
OS02,404117.495,3285063.399
OS02,404126.227,3285068.272
OS02,404134.959,3285073.146
OS02,404143.692,3285078.019
OS02,404152.424,3285082.892
OS02,404160.766,3285087.548
OS02,404169.435,3285092.533
OS02,404178.104,3285097.518
OS02,404186.773,3285102.503
OS02,404195.442,3285107.488
OS02,404204.892,3285112.922
OS02,404213.567,3285117.896
OS02,404222.242,3285122.870
OS02,404230.917,3285127.845
OS02,404239.592,3285132.819
OS02,404247.783,3285137.515
OS02,404256.420,3285142.555
OS02,404265.057,3285147.596
OS02,404273.693,3285152.636
OS02,404282.330,3285157.677
OS02,404290.540,3285162.468
OS02,404299.202,3285167.464
OS02,404307.865,3285172.461
OS02,404316.527,3285177.457
OS02,404325.189,3285182.453
OS02,404334.447,3285187.793
