,easting,northing
,387536.939,3292286.903
,387527.901,3292291.182
,387518.862,3292295.460
,387509.824,3292299.739
,387500.785,3292304.017
,387491.182,3292308.563
,387481.924,3292312.344
,387472.667,3292316.126
,387463.409,3292319.907
,387454.152,3292323.688
,387444.311,3292327.708
,387434.963,3292331.260
,387425.616,3292334.813
,387416.268,3292338.365
,387406.920,3292341.918
,387398.762,3292345.018
,387389.735,3292349.320
,387380.707,3292353.622
,387371.680,3292357.924
,387362.653,3292362.226
,387352.855,3292366.895
,387343.816,3292371.172
,387334.776,3292375.449
,387325.737,3292379.726
,387316.698,3292384.002
,387307.583,3292388.315
,387298.446,3292392.379
,387289.309,3292396.443
,387280.172,3292400.507
,387271.035,3292404.571
,387261.488,3292408.818
,387252.383,3292412.952
,387243.277,3292417.086
,387234.172,3292421.220
,387225.066,3292425.354
,387215.430,3292429.729
,387206.526,3292434.280
,387197.621,3292438.831
,387188.717,3292443.383
,387179.813,3292447.934
,387171.441,3292452.213
,387162.258,3292456.172
,387153.075,3292460.130
,387143.892,3292464.089
,387134.708,3292468.047
,387126.371,3292471.641
,387116.959,3292475.020
,387107.548,3292478.400
,387098.136,3292481.779
,387088.724,3292485.159
DT04.500,387078.283,3292488.908
