,easting,northing
,404860.004,3284747.693
,404860.543,3284757.678
,404861.082,3284767.664
,404861.622,3284777.649
,404862.161,3284787.635
,404862.651,3284796.712
,404864.002,3284806.620
,404865.353,3284816.529
,404866.704,3284826.437
,404868.055,3284836.345
,404869.380,3284846.061
,404870.322,3284856.017
,404871.263,3284865.972
,404872.205,3284875.928
,404873.146,3284885.883
,404874.110,3284896.070
,404875.133,3284906.017
,404876.157,3284915.965
,404877.180,3284925.912
,404878.204,3284935.860
,404879.245,3284945.981
,404879.940,3284955.957
,404880.634,3284965.933
,404881.329,3284975.909
,404882.023,3284985.884
,404882.719,3284995.881
,404884.070,3285005.789
,404885.422,3285015.698
,404886.773,3285025.606
,404888.124,3285035.514
,404889.442,3285045.178
,404890.630,3285055.107
,404891.819,3285065.036
,404893.007,3285074.965
,404894.195,3285084.895
,404895.369,3285094.701
,404896.246,3285104.662
,404897.124,3285114.624
,404898.001,3285124.585
,404898.878,3285134.547
,404899.871,3285145.817
,404901.022,3285155.751
,404902.173,3285165.684
,404903.324,3285175.618
,404904.475,3285185.551
,404905.536,3285194.709
,404906.448,3285204.667
,404907.359,3285214.626
,404908.271,3285224.584
,404909.182,3285234.542
OS09.500,404910.038,3285243.891
