,easting,northing
,403929.912,3284704.791
,403922.290,3284711.264
,403914.668,3284717.738
,403907.046,3284724.211
,403899.424,3284730.685
,403891.678,3284737.264
,403884.009,3284743.681
,403876.340,3284750.099
,403868.670,3284756.516
,403861.001,3284762.934
,403853.774,3284768.981
,403846.111,3284775.406
,403838.449,3284781.831
,403830.786,3284788.257
,403823.123,3284794.682
,403815.474,3284801.096
,403807.788,3284807.493
,403800.102,3284813.890
,403792.416,3284820.288
,403784.730,3284826.685
,403776.982,3284833.133
,403769.249,3284839.474
,403761.516,3284845.814
,403753.783,3284852.155
,403746.051,3284858.495
,403738.653,3284864.561
,403731.087,3284871.100
,403723.521,3284877.639
,403715.956,3284884.178
,403708.390,3284890.717
,403702.324,3284895.960
,403694.701,3284902.432
,403687.078,3284908.905
,403679.455,3284915.377
,403671.832,3284921.849
,403663.715,3284928.741
,403655.966,3284935.061
,403648.216,3284941.382
,403640.467,3284947.702
,403632.718,3284954.023
,403624.601,3284960.643
,403616.947,3284967.079
,403609.294,3284973.515
,403601.640,3284979.951
,403593.986,3284986.387
,403586.704,3284992.510
,403579.086,3284998.988
,403571.469,3285005.467
,403563.851,3285011.945
,403556.233,3285018.424
OS11.500,403548.644,3285024.878
