,easting,northing
,387392.709,3293037.966
,387387.449,3293046.471
,387382.188,3293054.975
,387376.928,3293063.480
,387371.667,3293071.984
,387366.224,3293080.785
,387361.404,3293089.547
,387356.584,3293098.309
,387351.765,3293107.070
,387346.945,3293115.832
,387342.663,3293123.616
,387337.394,3293132.115
,387332.126,3293140.615
,387326.857,3293149.114
,387321.588,3293157.614
,387315.752,3293167.029
,387310.498,3293175.537
,387305.244,3293184.046
,387299.989,3293192.554
,387294.735,3293201.063
,387289.349,3293209.785
,387283.996,3293218.232
,387278.644,3293226.679
,387273.291,3293235.126
,387267.939,3293243.573
,387263.081,3293251.239
,387257.914,3293259.800
,387252.746,3293268.362
,387247.579,3293276.923
,387242.412,3293285.485
,387236.942,3293294.547
,387231.963,3293303.219
,387226.984,3293311.891
,387222.004,3293320.564
,387217.025,3293329.236
,387212.417,3293337.262
,387206.826,3293345.553
,387201.234,3293353.843
,387195.643,3293362.134
,387190.051,3293370.425
,387184.404,3293378.798
,387179.344,3293387.423
,387174.284,3293396.048
,387169.223,3293404.674
,387164.163,3293413.299
,387158.912,3293422.250
,387153.505,3293430.662
,387148.099,3293439.075
,387142.692,3293447.487
,387137.285,3293455.900
DT05.500,387132.105,3293463.960
