,easting,northing
,403968.152,3284822.200
,403976.807,3284827.210
,403985.461,3284832.219
,403994.116,3284837.229
,404002.771,3284842.238
,404011.070,3284847.042
,404019.789,3284851.939
,404028.507,3284856.837
,404037.226,3284861.734
,404045.945,3284866.631
,404054.588,3284871.486
,404063.248,3284876.486
,404071.909,3284881.486
,404080.569,3284886.486
,404089.229,3284891.485
,404097.893,3284896.487
,404106.522,3284901.541
,404115.151,3284906.594
,404123.780,3284911.648
,404132.409,3284916.702
,404140.814,3284921.624
,404149.420,3284926.717
,404158.025,3284931.811
,404166.631,3284936.904
,404175.237,3284941.997
,404183.889,3284947.118
,404192.569,3284952.083
,404201.250,3284957.048
,404209.930,3284962.013
,404218.611,3284966.977
,404227.228,3284971.906
,404235.841,3284976.987
,404244.454,3284982.068
,404253.067,3284987.149
,404261.680,3284992.230
,404270.117,3284997.208
,404278.832,3285002.112
,404287.547,3285007.016
,404296.262,3285011.920
,404304.977,3285016.824
,404313.465,3285021.600
,404322.096,3285026.651
,404330.727,3285031.701
,404339.357,3285036.752
,404347.988,3285041.803
,404356.738,3285046.923
,404365.436,3285051.857
,404374.134,3285056.791
,404382.832,3285061.725
,404391.530,3285066.659
OS03.500,404400.000,3285071.464
