,easting,northing
,404035.963,3284706.611
,404044.507,3284711.808
,404053.050,3284717.004
,404061.594,3284722.201
,404070.138,3284727.398
,404078.589,3284732.538
,404087.208,3284737.609
,404095.827,3284742.680
,404104.445,3284747.751
,404113.064,3284752.822
,404121.565,3284757.824
,404130.268,3284762.750
,404138.970,3284767.676
,404147.673,3284772.602
,404156.375,3284777.528
,404165.422,3284782.649
,404174.332,3284787.189
,404183.242,3284791.729
,404192.152,3284796.269
,404201.062,3284800.809
,404209.480,3284805.099
,404218.427,3284809.566
,404227.374,3284814.033
,404236.320,3284818.500
,404245.267,3284822.967
,404254.632,3284827.643
,404263.640,3284831.986
,404272.647,3284836.329
,404281.655,3284840.673
,404290.662,3284845.016
,404299.371,3284849.215
,404308.330,3284853.658
,404317.289,3284858.101
,404326.247,3284862.544
,404335.206,3284866.987
,404344.796,3284871.743
,404353.361,3284876.904
,404361.927,3284882.065
,404370.492,3284887.226
,404379.057,3284892.387
,404387.011,3284897.179
,404395.936,3284901.689
,404404.862,3284906.199
,404413.787,3284910.709
,404422.712,3284915.219
,404431.890,3284919.856
,404440.502,3284924.938
,404449.115,3284930.020
,404457.727,3284935.102
,404466.339,3284940.184
OS04.500,404475.127,3284945.370
