"","plotID","siteID","compID","dupe"
"1","HARV_048","HARV","HARV_2563",TRUE
"2","HARV_048","HARV","HARV_3877",TRUE
"3","HARV_048","HARV","HARV_3960",TRUE
"4","HARV_048","HARV","HARV_3991",TRUE
"5","HARV_046","HARV","HARV_4346",TRUE
"6","HARV_047","HARV","HARV_4442",TRUE
"7","HARV_033","HARV","HARV_4820",TRUE
"8","HARV_033","HARV","HARV_4817",TRUE
"9","HARV_033","HARV","HARV_4759",TRUE
"10","HARV_052","HARV","HARV_3626",TRUE
"11","HARV_052","HARV","HARV_3817",TRUE
"12","HARV_038","HARV","HARV_4120",TRUE
"13","HARV_040","HARV","HARV_4102",TRUE
"14","HARV_039","HARV","HARV_8900",TRUE
"15","HARV_039","HARV","HARV_8899",TRUE
"16","HARV_039","HARV","HARV_8898",TRUE
"17","HARV_039","HARV","HARV_8897",TRUE
"18","HARV_039","HARV","HARV_8896",TRUE
"19","HARV_039","HARV","HARV_8895",TRUE
"20","HARV_039","HARV","HARV_8894",TRUE
"21","HARV_039","HARV","HARV_8893",TRUE
"22","HARV_039","HARV","HARV_8892",TRUE
"23","HARV_039","HARV","HARV_8891",TRUE
"24","HARV_039","HARV","HARV_8890",TRUE
"25","HARV_039","HARV","HARV_8889",TRUE
"26","HARV_039","HARV","HARV_8888",TRUE
"27","HARV_039","HARV","HARV_8887",TRUE
"28","HARV_039","HARV","HARV_8886",TRUE
"29","HARV_039","HARV","HARV_8885",TRUE
"30","HARV_039","HARV","HARV_8884",TRUE
"31","HARV_039","HARV","HARV_8883",TRUE
"32","HARV_039","HARV","HARV_8882",TRUE
"33","HARV_039","HARV","HARV_8881",TRUE
"34","HARV_039","HARV","HARV_8880",TRUE
"35","HARV_039","HARV","HARV_8879",TRUE
"36","HARV_039","HARV","HARV_8878",TRUE
"37","HARV_039","HARV","HARV_8877",TRUE
"38","HARV_039","HARV","HARV_8876",TRUE
"39","HARV_039","HARV","HARV_8875",TRUE
"40","HARV_039","HARV","HARV_8874",TRUE
"41","HARV_039","HARV","HARV_8873",TRUE
"42","HARV_039","HARV","HARV_8872",TRUE
"43","HARV_039","HARV","HARV_8870",TRUE
"44","HARV_039","HARV","HARV_8869",TRUE
"45","HARV_039","HARV","HARV_8868",TRUE
"46","HARV_039","HARV","HARV_8867",TRUE
"47","HARV_039","HARV","HARV_8866",TRUE
"48","HARV_039","HARV","HARV_8865",TRUE
"49","HARV_039","HARV","HARV_8864",TRUE
"50","HARV_039","HARV","HARV_8863",TRUE
"51","HARV_039","HARV","HARV_8862",TRUE
"52","HARV_039","HARV","HARV_8861",TRUE
"53","HARV_039","HARV","HARV_8935",TRUE
"54","HARV_039","HARV","HARV_8934",TRUE
"55","HARV_039","HARV","HARV_8933",TRUE
"56","HARV_039","HARV","HARV_9892",TRUE
"57","HARV_039","HARV","HARV_9891",TRUE
"58","HARV_039","HARV","HARV_9890",TRUE
"59","HARV_039","HARV","HARV_9889",TRUE
"60","HARV_039","HARV","HARV_9888",TRUE
"61","HARV_039","HARV","HARV_9887",TRUE
"62","HARV_039","HARV","HARV_9886",TRUE
"63","HARV_039","HARV","HARV_9885",TRUE
"64","HARV_039","HARV","HARV_9884",TRUE
"65","HARV_039","HARV","HARV_9883",TRUE
"66","HARV_039","HARV","HARV_9882",TRUE
"67","HARV_039","HARV","HARV_9881",TRUE
"68","HARV_039","HARV","HARV_9880",TRUE
"69","HARV_039","HARV","HARV_9879",TRUE
"70","HARV_039","HARV","HARV_9878",TRUE
"71","HARV_039","HARV","HARV_9877",TRUE
"72","HARV_039","HARV","HARV_9876",TRUE
"73","HARV_039","HARV","HARV_9875",TRUE
"74","HARV_039","HARV","HARV_9874",TRUE
"75","HARV_039","HARV","HARV_9873",TRUE
"76","HARV_039","HARV","HARV_9872",TRUE
"77","HARV_039","HARV","HARV_9871",TRUE
"78","HARV_039","HARV","HARV_9870",TRUE
"79","HARV_039","HARV","HARV_9869",TRUE
"80","HARV_039","HARV","HARV_9868",TRUE
"81","HARV_039","HARV","HARV_9867",TRUE
"82","HARV_039","HARV","HARV_9866",TRUE
"83","HARV_039","HARV","HARV_9865",TRUE
"84","HARV_039","HARV","HARV_9864",TRUE
"85","HARV_039","HARV","HARV_9863",TRUE
"86","HARV_039","HARV","HARV_9862",TRUE
"87","HARV_039","HARV","HARV_9861",TRUE
"88","HARV_039","HARV","HARV_9860",TRUE
"89","HARV_039","HARV","HARV_9859",TRUE
"90","HARV_039","HARV","HARV_9858",TRUE
"91","HARV_039","HARV","HARV_9857",TRUE
"92","HARV_039","HARV","HARV_9856",TRUE
"93","HARV_039","HARV","HARV_9855",TRUE
"94","HARV_039","HARV","HARV_9854",TRUE
"95","HARV_039","HARV","HARV_9853",TRUE
"96","HARV_039","HARV","HARV_9852",TRUE
"97","HARV_039","HARV","HARV_9851",TRUE
"98","HARV_039","HARV","HARV_9850",TRUE
"99","HARV_039","HARV","HARV_9849",TRUE
"100","HARV_039","HARV","HARV_9848",TRUE
"101","HARV_039","HARV","HARV_9847",TRUE
"102","HARV_039","HARV","HARV_9846",TRUE
"103","HARV_039","HARV","HARV_9845",TRUE
"104","HARV_039","HARV","HARV_9844",TRUE
"105","HARV_039","HARV","HARV_9843",TRUE
"106","HARV_039","HARV","HARV_9842",TRUE
"107","HARV_039","HARV","HARV_9841",TRUE
"108","HARV_039","HARV","HARV_9840",TRUE
"109","HARV_039","HARV","HARV_9839",TRUE
"110","HARV_039","HARV","HARV_9838",TRUE
"111","HARV_039","HARV","HARV_9837",TRUE
"112","HARV_039","HARV","HARV_9836",TRUE
"113","HARV_039","HARV","HARV_9835",TRUE
"114","HARV_039","HARV","HARV_9834",TRUE
"115","HARV_039","HARV","HARV_8871",TRUE
"116","HARV_039","HARV","HARV_9884A",TRUE
"117","HARV_039","HARV","HARV_9880A",TRUE
"118","HARV_039","HARV","HARV_9869A",TRUE
"119","HARV_039","HARV","HARV_9853A",TRUE
"120","HARV_039","HARV","HARV_9842A",TRUE
