"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","tempstemid","growthform","stemdiameter","existing_band","agb","addDBH","bandLength","springSize"
"D17","SOAP","SOAP_031","21_400",21,16,7.4,"QUKE","NEON.PLA.D17.SOAP.03523",1,"single bole tree",52.7,"Y",2012.5,7.5,190,"127mm"
"D17","SOAP","SOAP_031","21_400",39,105.4,12.8,"PIPO","NEON.PLA.D17.SOAP.03515",1,"single bole tree",40.4,"Y",662.1,4,140,"76mm"
"D17","SOAP","SOAP_031","21_400",39,137.1,16.8,"PIPO","NEON.PLA.D17.SOAP.03512",1,"single bole tree",38.8,"Y",599.4,4,135,"76mm"
"D17","SOAP","SOAP_031","21_400",21,19.8,7.1,"CADE27","NEON.PLA.D17.SOAP.03524",1,"single bole tree",31.5,"N",262.6,4,112,"76mm"
"D17","SOAP","SOAP_031","21_400",21,23.7,19.5,"CADE27","NEON.PLA.D17.SOAP.03517",1,"single bole tree",20.7,"N",95.1,4,78,"76mm"
"D17","SOAP","SOAP_031","21_400",41,236,8,"CADE27","NEON.PLA.D17.SOAP.03514",1,"single bole tree",20,"N",87.5,4,76,"76mm"
"D17","SOAP","SOAP_031","39_400",41,348.4,6.5,"CADE27","NEON.PLA.D17.SOAP.03457",1,"single bole tree",47.1,"Y",695.1,4,161,"76mm"
"D17","SOAP","SOAP_031","39_400",57,168.2,6.2,"PIPO","NEON.PLA.D17.SOAP.03472",1,"single bole tree",38.3,"Y",580.5,4,133,"76mm"
"D17","SOAP","SOAP_031","39_400",41,334.5,3,"CADE27","NEON.PLA.D17.SOAP.03459",1,"single bole tree",27.6,"N",190.7,4,100,"76mm"
"D17","SOAP","SOAP_031","39_400",57,99.9,5.5,"QUCH2","NEON.PLA.D17.SOAP.03467",1,"single bole tree",23,"N",121.8,4,85,"76mm"
"D17","SOAP","SOAP_043","21_400",21,30.4,7.2,"CADE27","NEON.PLA.D17.SOAP.03857",1,"single bole tree",26.6,"N",174.5,4,97,"76mm"
"D17","SOAP","SOAP_043","23_400",41,160.1,9.7,"QUKE","NEON.PLA.D17.SOAP.08398B",1,"multi-bole tree",27.6,"N",415,4,100,"76mm"
"D17","SOAP","SOAP_043","23_400",41,164,10.2,"QUKE","NEON.PLA.D17.SOAP.08398A",1,"multi-bole tree",26,"N",358.7,4,95,"76mm"
"D17","SOAP","SOAP_043","23_400",41,168.2,6.8,"QUKE","NEON.PLA.D17.SOAP.02701",1,"single bole tree",25.1,"N",329.2,4,92,"76mm"
"D17","SOAP","SOAP_043","39_400",NA,NA,NA,"CADE27","NEON.PLA.D17.SOAP.08400",1,"single bole tree",23.1,"N",124,4,86,"76mm"
"D17","SOAP","SOAP_043","39_400",59,214.4,10.6,"PIPO","NEON.PLA.D17.SOAP.02605",1,"single bole tree",21.3,"N",136.8,4,80,"76mm"
"D17","SOAP","SOAP_044","21_400",31,333.2,2.8,"QUKE","NEON.PLA.D17.SOAP.02816",NA,"single bole tree",58.6,"N",2607.5,7.5,208,"127mm"
"D17","SOAP","SOAP_044","21_400",31,71.7,9.3,"QUKE","NEON.PLA.D17.SOAP.02811",NA,"single bole tree",26.4,"N",372.3,4,96,"76mm"
"D17","SOAP","SOAP_044","41_400",61,204.9,8.4,"QUKE","NEON.PLA.D17.SOAP.00295",NA,"multi-bole tree",73.7,"N",4563.3,7.5,255,"127mm"
"D17","SOAP","SOAP_044","41_400",61,230.4,0.8,"QUKE","NEON.PLA.D17.SOAP.00164",NA,"multi-bole tree",46.1,"N",1451.7,4,158,"76mm"
"D17","SOAP","SOAP_044","41_400",51,112.3,6.8,"QUKE","NEON.PLA.D17.SOAP.00296",NA,"single bole tree",37.6,"N",882.7,4,131,"76mm"
"D17","SOAP","SOAP_044","41_400",59,166.4,4.5,"QUCH2","NEON.PLA.D17.SOAP.00301",NA,"single bole tree",23.9,"N",134.1,4,88,"76mm"
"D17","SOAP","SOAP_044","41_400",51,324.1,8.9,"PIPO","NEON.PLA.D17.SOAP.00300",NA,"single bole tree",23.7,"N",177.9,4,87,"76mm"
