"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","tempstemid","growthform","stemdiameter","existing_band","agb","addDBH","bandLength","springSize"
"D18/19","HEAL","HEAL_047","41_100",41,20.9,2.1,"PIGL","NEON.PLA.D19.HEAL.01168",1,"single bole tree",16.3,"Y",77.3,4,64,"76mm"
"D18/19","HEAL","HEAL_047","41_100",41,51.4,6.3,"PIGL","NEON.PLA.D19.HEAL.01167",1,"single bole tree",14.5,"Y",58.9,4,59,"76mm"
"D18/19","HEAL","HEAL_066","40_100",49,140,10.7,"PIGL","NEON.PLA.D19.HEAL.00512",1,"single bole tree",16.1,"Y",75.2,4,64,"76mm"
"D18/19","HEAL","HEAL_073","31_100",31,42.3,0.6,"PIGL","NEON.PLA.D19.HEAL.00412",1,"single bole tree",16,"Y",74.1,4,63,"76mm"
