"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","tempstemid","growthform","stemdiameter","existing_band","addDBH","bandLength","springSize"
"D17","TEAK","TEAK_043","21_400",23,323.3,5.8,"PICO","NEON.PLA.D17.TEAK.02218",1,"single bole tree",27.5,"Y",4.5,32,"76mm"
"D17","TEAK","TEAK_044","21_400",23,333.3,3.6,"PICO","NEON.PLA.D17.TEAK.01525",1,"multi-bole tree",73.5,"N",8,82,"127mm"
"D17","TEAK","TEAK_044","21_400",39,155.5,6,"PICO","NEON.PLA.D17.TEAK.01573",1,"single bole tree",52.3,"Y",8,61,"127mm"
"D17","TEAK","TEAK_044","21_400",39,124,9.8,"PICO","NEON.PLA.D17.TEAK.01566",1,"single bole tree",50.7,"Y",8,59,"127mm"
"D17","TEAK","TEAK_044","21_400",39,164.5,8,"PICO","NEON.PLA.D17.TEAK.01575",1,"single bole tree",48,"Y",4.5,53,"76mm"
"D17","TEAK","TEAK_044","21_400",23,297.4,5.4,"ABMA","NEON.PLA.D17.TEAK.01528",1,"single bole tree",44.4,"Y",4.5,49,"76mm"
"D17","TEAK","TEAK_044","21_400",39,150.7,11.2,"PICO","NEON.PLA.D17.TEAK.01568",1,"single bole tree",44,"Y",4.5,49,"76mm"
"D17","TEAK","TEAK_044","21_400",21,25.4,10.9,"ABMA","NEON.PLA.D17.TEAK.01569",1,"single bole tree",43.8,"Y",4.5,49,"76mm"
"D17","TEAK","TEAK_044","21_400",23,305.2,4.2,"ABMA","NEON.PLA.D17.TEAK.01527",1,"single bole tree",43,"Y",4.5,48,"76mm"
"D17","TEAK","TEAK_044","21_400",21,36.1,12,"PICO","NEON.PLA.D17.TEAK.03254",1,"single bole tree",37.5,"N",4.5,42,"76mm"
"D17","TEAK","TEAK_044","21_400",39,111.6,15.3,"ABMA","NEON.PLA.D17.TEAK.01517",1,"single bole tree",36.4,"Y",4.5,41,"76mm"
"D17","TEAK","TEAK_044","21_400",39,126.7,10.7,"ABMA","NEON.PLA.D17.TEAK.01565",1,"single bole tree",36.4,"N",4.5,41,"76mm"
"D17","TEAK","TEAK_044","21_400",23,289.8,8.2,"ABMA","NEON.PLA.D17.TEAK.01530",1,"single bole tree",33.5,"N",4.5,38,"76mm"
"D17","TEAK","TEAK_044","21_400",39,120.8,10,"PICO","NEON.PLA.D17.TEAK.01564",1,"single bole tree",30.4,"N",4.5,35,"76mm"
"D17","TEAK","TEAK_044","21_400",39,167.2,8.5,"ABMA","NEON.PLA.D17.TEAK.01576",1,"single bole tree",27.4,"N",4.5,32,"76mm"
"D17","TEAK","TEAK_044","39_400",59,258.1,7.6,"PICO","NEON.PLA.D17.TEAK.01430",1,"single bole tree",60.2,"Y",8,69,"127mm"
"D17","TEAK","TEAK_044","39_400",57,171.9,6.7,"PICO","NEON.PLA.D17.TEAK.01500",1,"single bole tree",55.7,"Y",8,64,"127mm"
"D17","TEAK","TEAK_044","39_400",57,126.9,5.3,"PICO","NEON.PLA.D17.TEAK.01461",1,"single bole tree",54.4,"Y",8,63,"127mm"
"D17","TEAK","TEAK_044","39_400",57,156.3,15.16,"PICO","NEON.PLA.D17.TEAK.01485",1,"single bole tree",51.7,"Y",8,60,"127mm"
"D17","TEAK","TEAK_044","39_400",41,285,3.5,"PICO","NEON.PLA.D17.TEAK.01424",1,"single bole tree",50.8,"Y",8,59,"127mm"
"D17","TEAK","TEAK_044","39_400",39,64,11.7,"PICO","NEON.PLA.D17.TEAK.01434",1,"single bole tree",44.4,"Y",4.5,49,"76mm"
"D17","TEAK","TEAK_044","39_400",57,142.2,11.12,"ABMA","NEON.PLA.D17.TEAK.01470",1,"multi-bole tree",43.7,"Y",4.5,49,"76mm"
"D17","TEAK","TEAK_044","39_400",57,136.9,8,"PICO","NEON.PLA.D17.TEAK.01469",1,"multi-bole tree",42.8,"Y",4.5,48,"76mm"
"D17","TEAK","TEAK_044","39_400",41,316,13.5,"ABMA","NEON.PLA.D17.TEAK.01432",1,"single bole tree",40.4,"N",4.5,45,"76mm"
"D17","TEAK","TEAK_044","39_400",41,298,15.2,"ABCO","NEON.PLA.D17.TEAK.01484",1,"single bole tree",33.3,"N",4.5,38,"76mm"
"D17","TEAK","TEAK_044","39_400",41,313,8.9,"ABMA","NEON.PLA.D17.TEAK.01426",1,"single bole tree",27.4,"N",4.5,32,"76mm"
"D17","TEAK","TEAK_044","39_400",39,81.4,10.9,"ABMA","NEON.PLA.D17.TEAK.01436",1,"single bole tree",26.4,"N",4.5,31,"76mm"
"D17","TEAK","TEAK_045","23_400",43,222.8,12.2,"PIJE","NEON.PLA.D17.TEAK.00417",1,"single bole tree",131.5,"Y",8,140,"127mm"
"D17","TEAK","TEAK_045","23_400",43,244.5,13.1,"PIJE","NEON.PLA.D17.TEAK.00424",1,"single bole tree",100.6,"Y",8,109,"127mm"
"D17","TEAK","TEAK_045","23_400",25,334.6,6.3,"ABCOL","NEON.PLA.D17.TEAK.00410",1,"single bole tree",76.1,"Y",8,85,"127mm"
"D17","TEAK","TEAK_045","23_400",25,306,2.8,"ABCOL","NEON.PLA.D17.TEAK.00414",1,"single bole tree",73.8,"Y",8,82,"127mm"
"D17","TEAK","TEAK_045","23_400",43,252.8,11.8,"ABCOL","NEON.PLA.D17.TEAK.00423",1,"single bole tree",48.8,"Y",4.5,54,"76mm"
"D17","TEAK","TEAK_045","23_400",43,243.7,2.3,"ABCO","NEON.PLA.D17.TEAK.09005",1,"single bole tree",43.9,"N",4.5,49,"76mm"
"D17","TEAK","TEAK_045","23_400",43,254.6,5.6,"ABCOL","NEON.PLA.D17.TEAK.00421",1,"single bole tree",38.5,"Y",4.5,43,"76mm"
"D17","TEAK","TEAK_045","23_400",25,344.4,13.8,"ABCO","NEON.PLA.D17.TEAK.00408",1,"single bole tree",36.2,"Y",4.5,41,"76mm"
"D17","TEAK","TEAK_045","39_400",41,331.9,10.7,"ABCO","NEON.PLA.D17.TEAK.00361",1,"single bole tree",39.6,"Y",4.5,45,"76mm"
"D17","TEAK","TEAK_045","39_400",57,98,16.5,"ABCO","NEON.PLA.D17.TEAK.00372",1,"single bole tree",39.5,"N",4.5,44,"76mm"
"D17","TEAK","TEAK_045","39_400",57,99.6,18.1,"ABCOL","NEON.PLA.D17.TEAK.00373",1,"single bole tree",38.7,"Y",4.5,44,"76mm"
"D17","TEAK","TEAK_045","39_400",57,160.8,9,"ABCO","NEON.PLA.D17.TEAK.00322",1,"single bole tree",30,"Y",4.5,35,"76mm"
"D17","TEAK","TEAK_046","39_400",59,225.4,8.4,"ABCOL","NEON.PLA.D17.TEAK.01996",1,"single bole tree",76.9,"Y",8,85,"127mm"
"D17","TEAK","TEAK_046","39_400",59,189.7,12.2,"ABCOL","NEON.PLA.D17.TEAK.02001",1,"single bole tree",67.5,"Y",8,76,"127mm"
"D17","TEAK","TEAK_046","39_400",59,218.9,10.7,"ABCOL","NEON.PLA.D17.TEAK.01994",1,"multi-bole tree",53,"Y",8,61,"127mm"
"D17","TEAK","TEAK_046","39_400",39,72.6,10.2,"PIJE","NEON.PLA.D17.TEAK.02054",1,"single bole tree",49.5,"Y",4.5,54,"76mm"
"D17","TEAK","TEAK_046","39_400",NA,NA,NA,"ABCOL","NEON.PLA.D17.TEAK.01994A",2,"multi-bole tree",47.2,"N",4.5,52,"76mm"
"D17","TEAK","TEAK_046","39_400",59,203.3,12.8,"ABCOL","NEON.PLA.D17.TEAK.02006",1,"single bole tree",44.5,"Y",4.5,49,"76mm"
"D17","TEAK","TEAK_046","39_400",39,55.1,15.9,"ABCOL","NEON.PLA.D17.TEAK.02011",1,"single bole tree",43.5,"Y",4.5,48,"76mm"
"D17","TEAK","TEAK_046","39_400",59,204,7.5,"ABCOL","NEON.PLA.D17.TEAK.01990",1,"single bole tree",39.8,"Y",4.5,45,"76mm"
"D17","TEAK","TEAK_046","39_400",NA,NA,NA,"PIJE","NEON.PLA.D17.TEAK.08090",1,"single bole tree",39,"N",4.5,44,"76mm"
"D17","TEAK","TEAK_046","39_400",59,223.6,11,"ABCOL","NEON.PLA.D17.TEAK.01995",1,"single bole tree",38,"Y",4.5,43,"76mm"
"D17","TEAK","TEAK_046","41_400",43,270.1,18,"ABCOL","NEON.PLA.D17.TEAK.02146",1,"single bole tree",61.3,"Y",8,70,"127mm"
"D17","TEAK","TEAK_046","41_400",43,331.1,5.7,"ABCOL","NEON.PLA.D17.TEAK.02133",1,"single bole tree",43.3,"Y",4.5,48,"76mm"
"D17","TEAK","TEAK_046","41_400",43,287.4,18.5,"ABMA","NEON.PLA.D17.TEAK.02148",1,"single bole tree",42,"N",4.5,47,"76mm"
"D17","TEAK","TEAK_046","41_400",43,320.9,2.5,"ABCOL","NEON.PLA.D17.TEAK.02135",1,"single bole tree",30.9,"N",4.5,36,"76mm"
"D17","TEAK","TEAK_047","21_400",21,37.6,16,"ABCO","NEON.PLA.D17.TEAK.03269",1,"single bole tree",72,"N",8,80,"127mm"
"D17","TEAK","TEAK_047","21_400",21,39.9,14.2,"ABMA","NEON.PLA.D17.TEAK.01875",1,"single bole tree",62.4,"Y",8,71,"127mm"
"D17","TEAK","TEAK_047","21_400",21,19.9,12.9,"ABCO","NEON.PLA.D17.TEAK.01884",1,"single bole tree",44.6,"Y",4.5,50,"76mm"
"D17","TEAK","TEAK_047","21_400",23,348.5,7.6,"ABCO","NEON.PLA.D17.TEAK.01843",1,"single bole tree",44.1,"Y",4.5,49,"76mm"
"D17","TEAK","TEAK_047","21_400",41,212.2,2.1,"PIJE","NEON.PLA.D17.TEAK.09017",1,"single bole tree",41.9,"Y",4.5,47,"76mm"
"D17","TEAK","TEAK_047","21_400",39,125.3,15.4,"PICO","NEON.PLA.D17.TEAK.01850",1,"single bole tree",41.4,"Y",4.5,46,"76mm"
"D17","TEAK","TEAK_047","21_400",39,112.5,15.7,"PICO","NEON.PLA.D17.TEAK.01849",1,"single bole tree",30.2,"Y",4.5,35,"76mm"
"D17","TEAK","TEAK_047","21_400",39,133.9,16.4,"ABMA","NEON.PLA.D17.TEAK.01847",1,"single bole tree",26.9,"N",4.5,32,"76mm"
"D17","TEAK","TEAK_047","41_400",59,157.6,19.6,"PIJE","NEON.PLA.D17.TEAK.01894",1,"single bole tree",56.5,"Y",8,65,"127mm"
"D17","TEAK","TEAK_047","41_400",43,289.7,16.4,"PICO","NEON.PLA.D17.TEAK.01897",1,"single bole tree",46.4,"Y",4.5,51,"76mm"
