"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","tempstemid","growthform","stemdiameter","existing_band","agb","addDBH","bandLength","springSize"
"D10/13","NIWO","NIWO_040","31_100",41,231.6,6.9,"PIEN","NEON.PLA.D13.NIWO.00460",1,"single bole tree",66.8,"Y",2236.1,7.5,234,"127mm"
"D10/13","NIWO","NIWO_040","31_100",31,16.4,10.1,"ABLAL","NEON.PLA.D13.NIWO.00458",1,"single bole tree",32.6,"Y",354.1,4,115,"76mm"
"D10/13","NIWO","NIWO_040","31_100",31,14.2,8.6,"PIEN","NEON.PLA.D13.NIWO.00456",1,"single bole tree",30.4,"Y",298.8,4,109,"76mm"
"D10/13","NIWO","NIWO_040","31_100",41,180.2,4.7,"PIEN","NEON.PLA.D13.NIWO.00466",1,"single bole tree",30,"Y",288.8,4,107,"76mm"
"D10/13","NIWO","NIWO_040","31_100",41,188.5,0.8,"PIEN","NEON.PLA.D13.NIWO.00469",1,"single bole tree",28.7,"Y",257.9,4,103,"76mm"
"D10/13","NIWO","NIWO_040","31_100",31,16.5,1.5,"PIEN","NEON.PLA.D13.NIWO.00451",1,"single bole tree",20.2,"Y",105.1,4,76,"76mm"
"D10/13","NIWO","NIWO_040","31_100",41,138.9,8.9,"PIEN","NEON.PLA.D13.NIWO.00463",1,"single bole tree",18.5,"Y",83.9,4,71,"76mm"
"D10/13","NIWO","NIWO_040","31_100",41,264.1,6.6,"ABLAL","NEON.PLA.D13.NIWO.00459",1,"single bole tree",17,"Y",76.8,4,66,"76mm"
"D10/13","NIWO","NIWO_040","31_100",41,259.2,3.8,"PIEN","NEON.PLA.D13.NIWO.00467",1,"single bole tree",16.9,"Y",66.6,4,66,"76mm"
"D10/13","NIWO","NIWO_040","32_100",33,279.3,2.9,"PIEN","NEON.PLA.D13.NIWO.00484",1,"single bole tree",46.5,"Y",885.7,4,159,"76mm"
"D10/13","NIWO","NIWO_040","32_100",41,161.3,8.8,"PIEN","NEON.PLA.D13.NIWO.00481",1,"single bole tree",34,"Y",397.8,4,120,"76mm"
"D10/13","NIWO","NIWO_040","32_100",33,352.4,5.5,"ABLAL","NEON.PLA.D13.NIWO.00485",1,"single bole tree",33.2,"Y",369.6,4,117,"76mm"
