"siteid","bands_count","total_plots"
"RMNP",90,8
"YELL",41,12
"NIWO",105,8
"WREF",155,18
"SJER",17,9
"SOAP",53,11
"TEAK",120,19
"BONA",214,12
"DEJU",127,12
"HEAL",3,3
