"mortonOrder","plotID","siteID","nlcdClass","plotType","subtype","applicableModules","plotSize","subtypeSpecification"
"3","BARR_001","BARR","sedgeHerbaceous","distributed","basePlot","all|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"4","BARR_002","BARR","sedgeHerbaceous","distributed","basePlot","all|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"10","BARR_003","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"18","BARR_004","BARR","sedgeHerbaceous","distributed","basePlot","all|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"23","BARR_005","BARR","sedgeHerbaceous","distributed","basePlot","all|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"42","BARR_006","BARR","sedgeHerbaceous","distributed","basePlot","all|bgc|cdw|cfc|dhp|div|hbp|sme|vst","1600",
"50","BARR_007","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"51","BARR_008","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"52","BARR_009","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"56","BARR_011","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"67","BARR_012","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"68","BARR_013","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"72","BARR_014","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"80","BARR_015","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"114","BARR_016","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"115","BARR_017","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|cdw|cfc|dhp|div|hbp|vst","1600",
"120","BARR_018","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"126","BARR_019","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"128","BARR_020","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"130","BARR_021","BARR","emergentHerbaceousWetlands","distributed","birdGrid","brd","250000","ninePoints"
"130","BARR_021","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|div","1600",
"131","BARR_022","BARR","sedgeHerbaceous","distributed","basePlot","all|cdw|dhp|div|hbp|vst","1600",
"135","BARR_023","BARR","sedgeHerbaceous","distributed","basePlot","all|div","1600",
"136","BARR_024","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|div","1600",
"144","BARR_025","BARR","sedgeHerbaceous","distributed","basePlot","all|div","1600",
"148","BARR_026","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|div","1600",
"152","BARR_027","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|div","1600",
"178","BARR_028","BARR","sedgeHerbaceous","distributed","basePlot","all|div","1600",
"211","BARR_029","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|div","1600",
"211","BARR_029","BARR","emergentHerbaceousWetlands","distributed","tickPlot","tck","1600",
"259","BARR_030","BARR","sedgeHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"259","BARR_030","BARR","sedgeHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"259","BARR_030","BARR","sedgeHerbaceous","distributed","tickPlot","tck","1600",
"259","BARR_030","BARR","sedgeHerbaceous","distributed","basePlot","all|bet|div","1600",
"370","BARR_031","BARR","sedgeHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"370","BARR_031","BARR","sedgeHerbaceous","distributed","tickPlot","tck","1600",
"370","BARR_031","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"386","BARR_032","BARR","emergentHerbaceousWetlands","distributed","basePlot","all|div","1600",
"498","BARR_034","BARR","sedgeHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"498","BARR_034","BARR","sedgeHerbaceous","distributed","tickPlot","tck","1600",
"498","BARR_034","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"514","BARR_035","BARR","emergentHerbaceousWetlands","distributed","birdGrid","brd","250000","ninePoints"
"562","BARR_036","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"562","BARR_036","BARR","sedgeHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"626","BARR_037","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"626","BARR_037","BARR","sedgeHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"626","BARR_037","BARR","sedgeHerbaceous","distributed","tickPlot","tck","1600",
"627","BARR_038","BARR","sedgeHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"818","BARR_039","BARR","sedgeHerbaceous","distributed","birdGrid","brd","250000","ninePoints"
"242","BARR_041","BARR","sedgeHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"642","BARR_042","BARR","emergentHerbaceousWetlands","distributed","mosquitoPoint","mos|mpt","0",
"962","BARR_043","BARR","emergentHerbaceousWetlands","distributed","mosquitoPoint","mos|mpt","0",
"1907","BARR_044","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"1907","BARR_044","BARR","sedgeHerbaceous","distributed","mammalGrid","mam","8100","diversity"
"2628","BARR_045","BARR","sedgeHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"2675","BARR_046","BARR","sedgeHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"3315","BARR_047","BARR","sedgeHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"4802","BARR_048","BARR","sedgeHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"4867","BARR_049","BARR","sedgeHerbaceous","distributed","basePlot","all|bet","1600",
"5188","BARR_050","BARR","sedgeHerbaceous","distributed","mosquitoPoint","mos|mpt","0",
"116","BARR_051","BARR","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"628","BARR_052","BARR","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"1140","BARR_053","BARR","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"712","TOOL_041","TOOL","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"1736","TOOL_042","TOOL","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"5832","TOOL_043","TOOL","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"153","BONA_070","BONA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
"409","BONA_071","BONA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","1600",
