,siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
962,TREE,TREE_025.basePlot.ltr,23,Y,298240.08003,5041109.59101,16N,10,-10,298250,5041099,400,392.0,98.0,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
963,TREE,TREE_025.basePlot.ltr,21,Y,298240.08003,5041109.59101,16N,-10,-10,298230,5041099,400,374.0,93.5,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
964,TREE,TREE_039.basePlot.ltr,23,Y,298208.47547,5040987.83164,16N,10,-10,298218,5040977,400,315.0,78.75,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
965,TREE,TREE_039.basePlot.ltr,41,Y,298208.47547,5040987.83164,16N,10,10,298218,5040997,400,391.0,97.75,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
966,TREE,TREE_040.basePlot.ltr,41,Y,297970.55698,5041228.6976,16N,10,10,297980,5041238,400,390.0,97.5,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
967,TREE,TREE_040.basePlot.ltr,23,Y,297970.55698,5041228.6976,16N,10,-10,297980,5041218,400,393.0,98.25,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
968,TREE,TREE_041.basePlot.ltr,41,Y,297788.52907,5041109.0062,16N,10,10,297798,5041119,400,377.0,94.25,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
969,TREE,TREE_041.basePlot.ltr,21,Y,297788.52907,5041109.0062,16N,-10,-10,297778,5041099,400,352.0,88.0,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
970,TREE,TREE_042.basePlot.ltr,41,Y,297549.70283,5041231.47909,16N,10,10,297559,5041241,400,400.0,100.0,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
971,TREE,TREE_042.basePlot.ltr,23,Y,297549.70283,5041231.47909,16N,10,-10,297559,5041221,400,400.0,100.0,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
972,TREE,TREE_043.basePlot.ltr,41,Y,298629.63786,5041169.69339,16N,10,10,298639,5041179,400,376.0,94.0,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
973,TREE,TREE_043.basePlot.ltr,39,Y,298629.63786,5041169.69339,16N,-10,10,298619,5041179,400,385.0,96.25,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
974,TREE,TREE_044.basePlot.ltr,41,Y,298480.42761,5041138.67559,16N,10,10,298490,5041148,400,400.0,100.0,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
975,TREE,TREE_044.basePlot.ltr,39,Y,298480.42761,5041138.67559,16N,-10,10,298470,5041148,400,400.0,100.0,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
976,TREE,TREE_045.basePlot.ltr,39,Y,298150.66035,5041198.87804,16N,-10,10,298140,5041208,400,366.0,91.5,2016,2016-09-02T14:00:00.000Z,2016-09-12T15:00:00.000Z
