"startDate","endDate","siteID","plotID","subplotID","totalSampledArea","flightYear","qualifyingVegetationArea","qualifyingVegetationPercent"
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_045.basePlot.ltr","23_400",400,2013,181,45.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_045.basePlot.ltr","39_400",400,2013,64,16
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_046.basePlot.ltr","41_400",400,2013,229,57.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_046.basePlot.ltr","39_400",400,2013,242,60.5
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_047.basePlot.ltr","21_400",400,2013,186,46.5
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_047.basePlot.ltr","39_400",400,2013,80,20
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_048.basePlot.ltr","39_400",400,2013,89,22.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_048.basePlot.ltr","41_400",400,2013,94,23.5
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_049.basePlot.ltr","23_400",400,2013,185,46.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_049.basePlot.ltr","21_400",400,2013,69,17.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_050.basePlot.ltr","21_400",400,2013,174,43.5
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_050.basePlot.ltr","39_400",400,2013,281,70.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_051.basePlot.ltr","41_400",400,2013,24,6
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_051.basePlot.ltr","39_400",400,2013,180,45
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_052.basePlot.ltr","23_400",400,2013,136,34
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_052.basePlot.ltr","21_400",400,2013,17,4.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_053.basePlot.ltr","21_400",400,2013,51,12.75
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_053.basePlot.ltr","23_400",400,2013,273,68.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_054.basePlot.ltr","39_400",400,2013,104,26
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_054.basePlot.ltr","21_400",400,2013,111,27.75
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_055.basePlot.ltr","39_400",400,2013,227,56.75
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_055.basePlot.ltr","21_400",400,2013,177,44.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_056.basePlot.ltr","23_400",400,2013,8,2
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_056.basePlot.ltr","39_400",400,2013,52,13
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_057.basePlot.ltr","23_400",400,2013,117,29.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_057.basePlot.ltr","39_400",400,2013,184,46
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_058.basePlot.ltr","39_400",400,2013,131,32.75
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_058.basePlot.ltr","41_400",400,2013,329,82.25
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_059.basePlot.ltr","23_400",400,2013,103,25.75
"2013-06-11T17:00:00.000Z","2013-06-13T20:00:00.000Z","SJER","SJER_059.basePlot.ltr","21_400",400,2013,132,33
