"siteID","namedLocation","subplotID","targetTaxaPresent","easting","northing","utmZone","E_add","N_add","easting_calc","northing_calc","plotArea","CHM_area","CHM_percent"
"ABBY","ABBY_061.basePlot.ltr","21","Y","552011.13538","5067872.22301","10N",-10,-10,552001.13538,5067862.22301,400,NA,NA
"ABBY","ABBY_061.basePlot.ltr","39","Y","552011.13538","5067872.22301","10N",-10,10,552001.13538,5067882.22301,400,NA,NA
"ABBY","ABBY_062.basePlot.ltr","41","Y","552250.38801","5067988.11633","10N",10,10,552260.38801,5067998.11633,400,NA,NA
"ABBY","ABBY_062.basePlot.ltr","39","Y","552250.38801","5067988.11633","10N",-10,10,552240.38801,5067998.11633,400,NA,NA
"ABBY","ABBY_063.basePlot.ltr","39","Y","552099.9559","5067657.63572","10N",-10,10,552089.9559,5067667.63572,400,NA,NA
"ABBY","ABBY_063.basePlot.ltr","21","Y","552099.9559","5067657.63572","10N",-10,-10,552089.9559,5067647.63572,400,NA,NA
"ABBY","ABBY_064.basePlot.ltr","23","Y","552220.4158","5067871.53252","10N",10,-10,552230.4158,5067861.53252,400,NA,NA
"ABBY","ABBY_064.basePlot.ltr","21","Y","552220.4158","5067871.53252","10N",-10,-10,552210.4158,5067861.53252,400,NA,NA
"ABBY","ABBY_065.basePlot.ltr","41","Y","551861.60036","5067842.64112","10N",10,10,551871.60036,5067852.64112,400,NA,NA
"ABBY","ABBY_065.basePlot.ltr","23","Y","551861.60036","5067842.64112","10N",10,-10,551871.60036,5067832.64112,400,NA,NA
"ABBY","ABBY_067.basePlot.ltr","21","Y","551981.78357","5067662.20233","10N",-10,-10,551971.78357,5067652.20233,400,NA,NA
"ABBY","ABBY_067.basePlot.ltr","39","Y","551981.78357","5067662.20233","10N",-10,10,551971.78357,5067672.20233,400,NA,NA
"ABBY","ABBY_068.basePlot.ltr","39","Y","552220.18426","5067658.31078","10N",-10,10,552210.18426,5067668.31078,400,NA,NA
"ABBY","ABBY_068.basePlot.ltr","21","Y","552220.18426","5067658.31078","10N",-10,-10,552210.18426,5067648.31078,400,NA,NA
"ABBY","ABBY_069.basePlot.ltr","21","Y","552310.3218","5067778.40031","10N",-10,-10,552300.3218,5067768.40031,400,NA,NA
"ABBY","ABBY_069.basePlot.ltr","41","Y","552310.3218","5067778.40031","10N",10,10,552320.3218,5067788.40031,400,NA,NA
"ABBY","ABBY_070.basePlot.ltr","39","Y","552040.55735","5067748.35952","10N",-10,10,552030.55735,5067758.35952,400,NA,NA
"ABBY","ABBY_070.basePlot.ltr","21","Y","552040.55735","5067748.35952","10N",-10,-10,552030.55735,5067738.35952,400,NA,NA
"ABBY","ABBY_073.basePlot.ltr","23","Y","552520.56392","5067931.2819","10N",10,-10,552530.56392,5067921.2819,400,NA,NA
"ABBY","ABBY_073.basePlot.ltr","39","Y","552520.56392","5067931.2819","10N",-10,10,552510.56392,5067941.2819,400,NA,NA
"ABBY","ABBY_074.basePlot.ltr","21","Y","552488.89927","5067748.57202","10N",-10,-10,552478.89927,5067738.57202,400,NA,NA
"ABBY","ABBY_074.basePlot.ltr","23","Y","552488.89927","5067748.57202","10N",10,-10,552498.89927,5067738.57202,400,NA,NA
"ABBY","ABBY_075.basePlot.ltr","21","Y","552609.8271","5067841.03738","10N",-10,-10,552599.8271,5067831.03738,400,NA,NA
"ABBY","ABBY_075.basePlot.ltr","39","Y","552609.8271","5067841.03738","10N",-10,10,552599.8271,5067851.03738,400,NA,NA
"ABBY","ABBY_076.basePlot.ltr","21","Y","552099.62638","5068021.85096","10N",-10,-10,552089.62638,5068011.85096,400,NA,NA
"ABBY","ABBY_076.basePlot.ltr","23","Y","552099.62638","5068021.85096","10N",10,-10,552109.62638,5068011.85096,400,NA,NA
"BART","BART_032.basePlot.ltr","23","Y","316801.60415","4881910.56829","19N",10,-10,316811.60415,4881900.56829,400,NA,NA
"BART","BART_032.basePlot.ltr","39","Y","316801.60415","4881910.56829","19N",-10,10,316791.60415,4881920.56829,400,NA,NA
