"Name","Description","History","Start Date","Children","Plot type","Subtype Specification","Plot Size","Plot Dimensions","Reference Point Position","Decimal Latitude","Decimal Longitude","UTM Zone","UTM Easting","UTM Northing","Coordinate Uncertainty","Elevation","Elevation Uncertainty","Minimum Elevation","Maximum Elevation","Slope Gradient","Slope Aspect","NLCD Class","Soil Type Order"
"ABBY_061.basePlot.ltr","Plot ""ABBY_061"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","45.762451","-122.331158","10N","552011.13538","5067872.22301","0.1","362.83","0.1","360.5","","3.09","45","evergreenForest","Andisols"
"ABBY_062.basePlot.ltr","Plot ""ABBY_062"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.763476","-122.328069","10N","552250.38801","5067988.11633","0.14","342.17","0.19","338.25","","6.84","57","evergreenForest","Andisols"
"ABBY_063.basePlot.ltr","Plot ""ABBY_063"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","45.760513","-122.330039","10N","552099.9559","5067657.63572","0.1","362.15","0.1","361.25","","0","0","evergreenForest","Andisols"
"ABBY_064.basePlot.ltr","Plot ""ABBY_064"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.762429","-122.328467","10N","552220.4158","5067871.53252","0.1","361.1","0.1","359.2","","1.2","180","grasslandHerbaceous","Andisols"
"ABBY_065.basePlot.ltr","Plot ""ABBY_065"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.762196","-122.333084","10N","551861.60036","5067842.64112","0.11","357.04","0.11","355.75","","0","0","grasslandHerbaceous","Andisols"
"ABBY_066.basePlot.ltr","Plot ""ABBY_066"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.763502","-122.329984","10N","552101.45063","5067989.75549","0.1","360.23","0.1","357.18","","270","3.8","evergreenForest","Andisols"
"ABBY_067.basePlot.ltr","Plot ""ABBY_067"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.760563","-122.331558","10N","551981.78357","5067662.20233","0.1","359.94","0.1","358.63","","6.11","0","evergreenForest","Andisols"
"ABBY_068.basePlot.ltr","Plot ""ABBY_068"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.76051","-122.328493","10N","552220.18426","5067658.31078","0.1","365.43","0.14","364.19","","2","0","evergreenForest","Andisols"
"ABBY_069.basePlot.ltr","Plot ""ABBY_069"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.761584","-122.327321","10N","552310.3218","5067778.40031","0.1","368.15","0.15","362.66","","0","0","grasslandHerbaceous","Andisols"
"ABBY_070.basePlot.ltr","Plot ""ABBY_070"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","45.761334","-122.330793","10N","552040.55735","5067748.35952","0.1","363.12","0.1","359","","1.78","90","evergreenForest","Andisols"
"ABBY_073.basePlot.ltr","Plot ""ABBY_073"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.762944","-122.324601","10N","552520.56392","5067931.2819","0.1","336.52","0.1","333.72","","21.55","180","evergreenForest","Andisols"
"ABBY_074.basePlot.ltr","Plot ""ABBY_074"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.761302","-122.325028","10N","552488.89927","5067748.57202","0.1","365.74","0.1","363.95","","2.41","270","evergreenForest","Andisols"
"ABBY_075.basePlot.ltr","Plot ""ABBY_075"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.762125","-122.323463","10N","552609.8271","5067841.03738","0.1","343.58","0.1","341.43","","6.84","225","shrubScrub","Andisols"
"ABBY_076.basePlot.ltr","Plot ""ABBY_076"" at site ""ABBY""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","45.763791","-122.330004","10N","552099.62638","5068021.85096","0.1","358.55","0.1","354.14","","4.8","225","evergreenForest","Andisols"
"BARR_051.basePlot.ltr","Plot ""BARR_051"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","71.285604","-156.607878","4N","585643.00387","7910944.19731","0.01","5.33","0.01","5.09","","0","0","emergentHerbaceousWetlands",""
"BARR_052.basePlot.ltr","Plot ""BARR_052"" at site ""BARR""","History","2018-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","71.281336","-156.603652","4N","585813.08789","7910474.49316","0.01","5.35","0.03","5.14","","","","emergentHerbaceousWetlands",""
"BARR_053.basePlot.ltr","Plot ""BARR_053"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","13","tower","","1600","40m x 40m","41","71.285301","-156.605382","4N","585733.6622","7910913.9621","0.01","5.46","0.02","5.37","","0","0","emergentHerbaceousWetlands",""
"BARR_054.basePlot.ltr","Plot ""BARR_054"" at site ""BARR""","History","2010-01-01T00:00:00.000Z","9","tower","","1600","40m x 40m","41","71.280858","-156.636941","4N","584623.63355","7910374.31814","0.01","5.95","0.01","5.88","","1.2","0.8","sedgeHerbaceous",""
