"siteID","namedLocation","subplotID","targetTaxaPresent","easting","northing","utmZone","E_add","N_add","easting_calc","northing_calc","plotArea","CHM_area"
"BLAN","BLAN_031.basePlot.ltr","31","N","753479.32587","4327387.86908","17N",0,0,753479.32587,4327387.86908,400,NA
"BLAN","BLAN_032.basePlot.ltr","31","Y","753241.48637","4327353.86862","17N",0,0,753241.48637,4327353.86862,400,NA
"BLAN","BLAN_033.basePlot.ltr","31","N","753602.21764","4327327.38435","17N",0,0,753602.21764,4327327.38435,400,NA
"BLAN","BLAN_034.basePlot.ltr","31","N","753422.81735","4327447.71747","17N",0,0,753422.81735,4327447.71747,400,NA
"BLAN","BLAN_035.basePlot.ltr","31","Y","753209.10714","4327205.26166","17N",0,0,753209.10714,4327205.26166,400,NA
"BLAN","BLAN_036.basePlot.ltr","31","Y","753171.90744","4327685.09089","17N",0,0,753171.90744,4327685.09089,400,NA
"BLAN","BLAN_037.basePlot.ltr","31","N","753510.49179","4327447.65542","17N",0,0,753510.49179,4327447.65542,400,NA
"BLAN","BLAN_038.basePlot.ltr","31","N","753451.19136","4327266.28809","17N",0,0,753451.19136,4327266.28809,400,NA
"BLAN","BLAN_039.basePlot.ltr","31","N","753360.81738","4327237.15115","17N",0,0,753360.81738,4327237.15115,400,NA
"BLAN","BLAN_040.basePlot.ltr","31","N","753510.83132","4327297.43511","17N",0,0,753510.83132,4327297.43511,400,NA
"BLAN","BLAN_041.basePlot.ltr","31","Y","753242.02638","4327686.68298","17N",0,0,753242.02638,4327686.68298,400,NA
"BLAN","BLAN_042.basePlot.ltr","31","N","753360.39257","4327296.02979","17N",0,0,753360.39257,4327296.02979,400,NA
"BLAN","BLAN_043.basePlot.ltr","31","N","753571.93516","4327267.07056","17N",0,0,753571.93516,4327267.07056,400,NA
"BLAN","BLAN_044.basePlot.ltr","31","Y","753302.08723","4327446.60415","17N",0,0,753302.08723,4327446.60415,400,NA
"BLAN","BLAN_045.basePlot.ltr","31","N","753420.89803","4327327.20402","17N",0,0,753420.89803,4327327.20402,400,NA
"BLAN","BLAN_046.basePlot.ltr","31","N","753300.23221","4327235.30992","17N",0,0,753300.23221,4327235.30992,400,NA
"BLAN","BLAN_047.basePlot.ltr","31","Y","753150.69495","4327595.9582","17N",0,0,753150.69495,4327595.9582,400,NA
"BLAN","BLAN_048.basePlot.ltr","31","Y","753001.78397","4327654.94513","17N",0,0,753001.78397,4327654.94513,400,NA
"BLAN","BLAN_049.basePlot.ltr","31","N","753540.764","4327387.40582","17N",0,0,753540.764,4327387.40582,400,NA
"BLAN","BLAN_050.basePlot.ltr","31","Y","753301.31442","4327387.24247","17N",0,0,753301.31442,4327387.24247,400,NA
"BLAN","BLAN_051.basePlot.ltr","31","N","753571.43817","4327207.27313","17N",0,0,753571.43817,4327207.27313,400,NA
"BLAN","BLAN_052.basePlot.ltr","31","Y","753360.67602","4327445.82548","17N",0,0,753360.67602,4327445.82548,400,NA
"BLAN","BLAN_053.basePlot.ltr","31","Y","753210.39029","4327294.53028","17N",0,0,753210.39029,4327294.53028,400,NA
"BLAN","BLAN_054.basePlot.ltr","31","N","753362.86078","4327176.43569","17N",0,0,753362.86078,4327176.43569,400,NA
"BLAN","BLAN_055.basePlot.ltr","31","Y","753300.65182","4327625.56833","17N",0,0,753300.65182,4327625.56833,400,NA
"BLAN","BLAN_056.basePlot.ltr","31","N","753362.22569","4327357.42579","17N",0,0,753362.22569,4327357.42579,400,NA
"BLAN","BLAN_057.basePlot.ltr","31","Y","753149.62305","4327233.79211","17N",0,0,753149.62305,4327233.79211,400,NA
"BLAN","BLAN_059.basePlot.ltr","31","N","753270.47351","4327174.79215","17N",0,0,753270.47351,4327174.79215,400,NA
"BLAN","BLAN_060.basePlot.ltr","31","N","753510.73035","4327206.53752","17N",0,0,753510.73035,4327206.53752,400,NA
"BLAN","BLAN_063.basePlot.ltr","31","Y","753000.77807","4327594.6872","17N",0,0,753000.77807,4327594.6872,400,NA
"BLAN","BLAN_064.basePlot.ltr","31","N","753421.48909","4327384.11533","17N",0,0,753421.48909,4327384.11533,400,NA
"HEAL","HEAL_045.basePlot.ltr","31","N","390996.38623","7085034.74076","6N",0,0,390996.38623,7085034.74076,400,NA
"HEAL","HEAL_046.basePlot.ltr","31","N","391115.03262","7084794.42807","6N",0,0,391115.03262,7084794.42807,400,NA
"HEAL","HEAL_047.basePlot.ltr","31","Y","390905.96869","7084735.34866","6N",0,0,390905.96869,7084735.34866,400,NA
"HEAL","HEAL_048.basePlot.ltr","21","N","391416.78323","7084975.87233","6N",-10,-10,391406.78323,7084965.87233,400,NA
"HEAL","HEAL_049.basePlot.ltr","31","N","391416.98998","7084825.76759","6N",0,0,391416.98998,7084825.76759,400,NA
"HEAL","HEAL_050.basePlot.ltr","31","N","391626.28732","7084886.4335","6N",0,0,391626.28732,7084886.4335,400,NA
"HEAL","HEAL_051.basePlot.ltr","31","Y","391056.90098","7084885.99464","6N",0,0,391056.90098,7084885.99464,400,NA
"HEAL","HEAL_052.basePlot.ltr","31","N","391295.66185","7084644.97269","6N",0,0,391295.66185,7084644.97269,400,NA
"HEAL","HEAL_053.basePlot.ltr","31","N","390967.62122","7084795.87397","6N",0,0,390967.62122,7084795.87397,400,NA
"HEAL","HEAL_054.basePlot.ltr","31","N","391624.72246","7085003.24225","6N",0,0,391624.72246,7085003.24225,400,NA
"HEAL","HEAL_055.basePlot.ltr","31","N","390816.70409","7084854.7675","6N",0,0,390816.70409,7084854.7675,400,NA
"HEAL","HEAL_056.basePlot.ltr","31","N","391177.29897","7084886.94052","6N",0,0,391177.29897,7084886.94052,400,NA
"HEAL","HEAL_057.basePlot.ltr","31","N","390876.62102","7085005.23228","6N",0,0,390876.62102,7085005.23228,400,NA
"HEAL","HEAL_058.basePlot.ltr","31","N","391265.93363","7084825.54162","6N",0,0,391265.93363,7084825.54162,400,NA
"HEAL","HEAL_059.basePlot.ltr","31","Y","391055.95886","7084675.04229","6N",0,0,391055.95886,7084675.04229,400,NA
"HEAL","HEAL_060.basePlot.ltr","31","N","391506.52475","7084885.33689","6N",0,0,391506.52475,7084885.33689,400,NA
"HEAL","HEAL_061.basePlot.ltr","31","Y","391236.0002","7084555.26684","6N",0,0,391236.0002,7084555.26684,400,NA
"HEAL","HEAL_062.basePlot.ltr","31","N","391476.69412","7084735.26888","6N",0,0,391476.69412,7084735.26888,400,NA
"HEAL","HEAL_063.basePlot.ltr","31","N","391267.25958","7084945.93076","6N",0,0,391267.25958,7084945.93076,400,NA
"HEAL","HEAL_064.basePlot.ltr","31","N","391715.97717","7084855.34282","6N",0,0,391715.97717,7084855.34282,400,NA
"HEAL","HEAL_065.basePlot.ltr","31","N","390875.92849","7084945.8191","6N",0,0,390875.92849,7084945.8191,400,NA
"HEAL","HEAL_066.basePlot.ltr","31","Y","391175.93584","7084645.2252","6N",0,0,391175.93584,7084645.2252,400,NA
"HEAL","HEAL_067.basePlot.ltr","31","N","391415.75849","7084645.4925","6N",0,0,391415.75849,7084645.4925,400,NA
"HEAL","HEAL_068.basePlot.ltr","31","Y","391684.87986","7084944.29019","6N",0,0,391684.87986,7084944.29019,400,NA
"HEAL","HEAL_069.basePlot.ltr","31","N","391176.9275","7084796.9615","6N",0,0,391176.9275,7084796.9615,400,NA
"HEAL","HEAL_070.basePlot.ltr","31","N","391417.31603","7084914.63279","6N",0,0,391417.31603,7084914.63279,400,NA
"HEAL","HEAL_071.basePlot.ltr","31","N","391566.85025","7084916.47973","6N",0,0,391566.85025,7084916.47973,400,NA
"HEAL","HEAL_072.basePlot.ltr","31","N","391056.35341","7084974.89062","6N",0,0,391056.35341,7084974.89062,400,NA
"HEAL","HEAL_073.basePlot.ltr","31","Y","391235.74037","7084705.0392","6N",0,0,391235.74037,7084705.0392,400,NA
"HEAL","HEAL_074.basePlot.ltr","31","N","391027.20464","7084825.24832","6N",0,0,391027.20464,7084825.24832,400,NA
"KONZ","KONZ_046.basePlot.ltr","31","Y","710650.73915","4331039.6593","14N",0,0,710650.73915,4331039.6593,400,NA
"KONZ","KONZ_053.basePlot.ltr","31","Y","710468.73001","4330497.51535","14N",0,0,710468.73001,4330497.51535,400,NA
"KONZ","KONZ_059.basePlot.ltr","31","Y","710560.79592","4331127.66028","14N",0,0,710560.79592,4331127.66028,400,NA
"KONZ","KONZ_059.basePlot.ltr","31","Y","710560.79592","4331127.66028","14N",0,0,710560.79592,4331127.66028,400,NA
"KONZ","KONZ_061.basePlot.ltr","31","Y","710950.83254","4330918.87162","14N",0,0,710950.83254,4330918.87162,400,NA
"KONZ","KONZ_063.basePlot.ltr","31","Y","710679.51891","4330918.58376","14N",0,0,710679.51891,4330918.58376,400,NA
"KONZ","KONZ_064.basePlot.ltr","31","Y","710529.22564","4330529.90452","14N",0,0,710529.22564,4330529.90452,400,NA
"KONZ","KONZ_064.basePlot.ltr","31","Y","710529.22564","4330529.90452","14N",0,0,710529.22564,4330529.90452,400,NA
"KONZ","KONZ_067.basePlot.ltr","31","Y","710559.94186","4331036.89025","14N",0,0,710559.94186,4331036.89025,400,NA
"KONZ","KONZ_069.basePlot.ltr","31","Y","710890.53607","4331008.11012","14N",0,0,710890.53607,4331008.11012,400,NA
"NIWO","NIWO_040.basePlot.ltr","31","Y","450123.0828","4433086.91905","13N",0,0,450123.0828,4433086.91905,400,NA
"NIWO","NIWO_041.basePlot.ltr","31","Y","450274.78662","4433508.37867","13N",0,0,450274.78662,4433508.37867,400,NA
"NIWO","NIWO_041.basePlot.ltr","31","Y","450274.78662","4433508.37867","13N",0,0,450274.78662,4433508.37867,400,NA
"NIWO","NIWO_046.basePlot.ltr","31","Y","450003.38834","4433266.85502","13N",0,0,450003.38834,4433266.85502,400,NA
"NIWO","NIWO_046.basePlot.ltr","31","Y","450003.38834","4433266.85502","13N",0,0,450003.38834,4433266.85502,400,NA
"NIWO","NIWO_047.basePlot.ltr","31","Y","450155.60734","4433987.22403","13N",0,0,450155.60734,4433987.22403,400,NA
"NIWO","NIWO_051.basePlot.ltr","31","Y","450064.15673","4433297.64541","13N",0,0,450064.15673,4433297.64541,400,NA
"NIWO","NIWO_051.basePlot.ltr","31","Y","450064.15673","4433297.64541","13N",0,0,450064.15673,4433297.64541,400,NA
"NIWO","NIWO_057.basePlot.ltr","31","Y","450093.106","4433146.6103","13N",0,0,450093.106,4433146.6103,400,NA
