,siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
26,BART,BART_032.basePlot.ltr,23,Y,316801.60415,4881910.56829,19N,10,-10,316811,4881900,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
27,BART,BART_032.basePlot.ltr,39,Y,316801.60415,4881910.56829,19N,-10,10,316791,4881920,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
28,BART,BART_033.basePlot.ltr,23,Y,317102.14764,4881427.69356,19N,10,-10,317112,4881417,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
29,BART,BART_033.basePlot.ltr,41,Y,317102.14764,4881427.69356,19N,10,10,317112,4881437,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
30,BART,BART_034.basePlot.ltr,23,Y,316949.71863,4881552.63993,19N,10,-10,316959,4881542,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
31,BART,BART_034.basePlot.ltr,39,Y,316949.71863,4881552.63993,19N,-10,10,316939,4881562,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
32,BART,BART_034.basePlot.ltr,21,Y,316949.71863,4881552.63993,19N,-10,-10,316939,4881542,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
33,BART,BART_034.basePlot.ltr,41,Y,316949.71863,4881552.63993,19N,10,10,316959,4881562,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
34,BART,BART_036.basePlot.ltr,21,Y,316921.30471,4881308.65957,19N,-10,-10,316911,4881298,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
35,BART,BART_036.basePlot.ltr,41,Y,316921.30471,4881308.65957,19N,10,10,316931,4881318,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
36,BART,BART_037.basePlot.ltr,41,Y,317130.7781,4881249.04772,19N,10,10,317140,4881259,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
37,BART,BART_037.basePlot.ltr,21,Y,317130.7781,4881249.04772,19N,-10,-10,317120,4881239,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
38,BART,BART_039.basePlot.ltr,39,Y,316680.12012,4881493.21187,19N,-10,10,316670,4881503,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
39,BART,BART_039.basePlot.ltr,41,Y,316680.12012,4881493.21187,19N,10,10,316690,4881503,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
40,BART,BART_040.basePlot.ltr,41,Y,316443.14982,4881730.79011,19N,10,10,316453,4881740,400,400.0,100.0,2025,2025-08-16T13:00:00.000Z,2025-08-21T13:00:00.000Z
